% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Nov 27 2017, 14:40
% Dimension:          2
% Nodes:              599
% Expressions:        6
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic field, x component, Magnetic field, y component, Remanent flux density, x component, Remanent flux density, y component
% Length unit:        m
% x                       y                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Hx (A/m)            mfnc.Hy (A/m)            mfnc.Brx (T)             mfnc.Bry (T)
0.09819089580666433       0.06898222945574306      -0.9704066374684492      0.8214634683018645       -613653.3568064598       -431447.6402317418       -0.16071010887901524     1.3907452178253552
0.09737799443253088       0.07012507540315362      -0.8416833738487065      0.9018654992526615       -516096.4820635875       -370512.4942296136       -0.16071010887901524     1.3907452178253552
0.09689159959080519       0.0690281533903905       -0.826150922225045       0.7878321651438163       -504324.7370433901       -456936.1551851963       -0.16071010887901524     1.3907452178253552
0.09655313922580958       0.07125651763622348      -0.746151973366219       0.9606112504589973       -443695.0791717809       -325990.22427658975      -0.16071010887901524     1.3907452178253552
0.09606651429433209       0.070035828771687        -0.7378496369638641      0.8619641302309581       -437402.89880203543      -400752.97097217507      -0.16071010887901524     1.3907452178253552
0.09899038522520512       0.06782996117473077      -1.1744638450496183      0.6872524003616727       -768304.3723306124       -533163.6158523309       -0.16071010887901524     1.3907452178253552
0.09754519295002063       0.06794482007965758      -0.9134481299224945      0.6656822147957899       -570485.6042965754       -549511.2427867105       -0.16071010887901524     1.3907452178253552
0.09977635347630544       0.06666842796235226      -1.6323905900294542      0.2694382300374064       -1115358.205842625       -849816.9039520742       -0.16071010887901524     1.3907452178253552
0.09834937634402287       0.06704897565453646      -1.0131554168627503      0.4815180317273212       -646051.8308624027       -689085.7193382701       -0.16071010887901524     1.3907452178253552
0.0984611601874007        0.0657896439019713       -0.845304757812976       0.25951198101580025      -518841.05901000276      -857339.8163242155       -0.16071010887901524     1.3907452178253552
0.09572128278388985       0.07237013211406067      -0.669187184026022       1.008334839178142        -385364.9521835963       -289821.4383397493       -0.16071010887901524     1.3907452178253552
0.0951998371229117        0.071006573959157        -0.6625505103754474      0.9167490139991975       -380335.14543513604      -359232.56593203126      -0.16071010887901524     1.3907452178253552
0.09488319127571886       0.07346550219889164      -0.6041072738203492      1.0493970106346309       -336042.1454921227       -258701.21185695348      -0.16071010887901524     1.3907452178253552
0.09431484578147294       0.07204039328149074      -0.5961403016728132      0.9661535596323275       -330004.131212333        -321789.8152238323       -0.16071010887901524     1.3907452178253552
0.0940388633060099        0.07454322362303352      -0.5474421083215962      1.0861170103617643       -293096.7112528518       -230871.8334431138       -0.16071010887901524     1.3907452178253552
0.09342973447716409       0.0731698541424196       -0.5369402829932116      1.0140545475807154       -285137.5807171371       -285486.58183825493      -0.16071010887901524     1.3907452178253552
0.09317973976138783       0.07561439081286077      -0.4964652603915834      1.1202565051877638       -254462.34300854037      -204998.1698420758       -0.16071010887901524     1.3907452178253552
0.092625932291595         0.07426974345754336      -0.487949629172939       1.0565939655048235       -248008.51061808833      -253246.77879599892      -0.16071010887901524     1.3907452178253552
0.09230189235853914       0.07668350974644192      -0.44968552157735875     1.1526988602153796       -219008.88268077062      -180410.7357078508       -0.16071010887901524     1.3907452178253552
0.091823821230822         0.07533589556998715      -0.44364874111582703     1.0945034196203796       -214433.72339118322      -224515.93587977925      -0.16071010887901524     1.3907452178253552
0.09140511576324727       0.07775027210439439      -0.40623108038130945     1.1839969535828723       -186075.60117768802      -156690.5153802882       -0.16071010887901524     1.3907452178253552
0.09097636098683545       0.07637473305381176      -0.4013296074280753      1.1288827868561124       -182360.86951607637      -198460.47761340582      -0.16071010887901524     1.3907452178253552
0.09678192461190213       0.06466761456238904      -0.6394947689451533      0.3733319236472426       -362861.64440999366      -771077.8806469297       -0.16071010887901524     1.3907452178253552
0.09662304308668163       0.06654379492359552      -0.7569390206202165      0.5264442246413396       -451870.37389482645      -655037.0256403362       -0.16071010887901524     1.3907452178253552
0.09049407067049607       0.07880877599279963      -0.36566914803835343     1.2144213210370882       -155334.49625511444      -133632.47504322798      -0.16071010887901524     1.3907452178253552
0.0900803929855118        0.07738865965277003      -0.3604473509474126      1.160768172868807        -151376.99711775195      -174295.15953572237      -0.16071010887901524     1.3907452178253552
0.08957798472101527       0.07984851065186847      -0.3278187509480957      1.2440361122056594       -126648.41151746859      -111187.99693316926      -0.16071010887901524     1.3907452178253552
0.08913511176377477       0.07835489162922386      -0.3207528634732673      1.1900491110321714       -121293.31190342076      -152103.70216873405      -0.16071010887901524     1.3907452178253552
0.08865741743711301       0.08086941531494762      -0.292217039337898       1.2731115406135525       -99666.56206368249       -89152.29143968968       -0.16071010887901524     1.3907452178253552
0.08822455027996717       0.07931513525107255      -0.28449694126624664     1.2191638838673644       -93815.64887674186       -130038.1782938834       -0.16071010887901524     1.3907452178253552
0.08773150169598629       0.08187297240339544      -0.25849326911781284     1.30189482447932         -74107.96811024532       -67337.99665086059       -0.16071010887901524     1.3907452178253552
0.08733248203307284       0.0803640620639496       -0.25037274378377034     1.251277672332742        -67953.57883683656       -105699.75840972946      -0.16071010887901524     1.3907452178253552
0.08679004270093739       0.08287031125782898      -0.22605767251563758     1.3308992765136491       -49525.656056098254      -45356.08277974028       -0.16071010887901524     1.3907452178253552
0.08649097246171213       0.0814132455549416       -0.21964318748328263     1.283533332901692        -44664.241769011285      -81253.81639904983       -0.16071010887901524     1.3907452178253552
