% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Mar 2 2017, 13:16
% Dimension:          2
% Nodes:              485
% Expressions:        4
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic field, x component, Magnetic field, y component
% Length unit:        m
% x                       y                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Hx (A/m)            mfnc.Hy (A/m)
-0.07366952844776631      1.703950139499753E-17    0.0874618936894877       4.570721251907689E-5     69599.96356429908        36.37264403681426
-0.07                     6.938893903907228E-18    0.09540803039331258      3.984200245845625E-4     75923.29823878742        317.0525816971379
-0.07225241090597534      0.002315403201234864     0.09218335539083602      -0.00553558775596045     73357.18340624234        -4405.080771400391
-0.06992504265324816      0.003238581470555311     0.09809244865268624      -0.004555547453884808    78059.49041531472        -3625.1894788773266
-0.08189161797942984      1.894124162595218E-17    0.05583911942209818      -3.9498525435260683E-5   44435.35936962792        -31.431927839313477
-0.07777995032842996      1.7990227439338328E-17   0.07315850339838234      -1.0512786218774203E-4   58217.687225288864       -83.65809461931349
-0.07969637937428604      0.002911096768689671     0.06583294316694722      -0.01238752573398641     52388.19161653732        -9857.67976620998
-0.07539349266895046      0.0030670876654861935    0.08315613681355716      -0.01066622447993844     66173.55111151777        -8487.911750549916
-0.0697003311445256       0.00647022707047225      0.10662752671748894      -0.010121747007502367    84851.48973375751        -8054.630344848006
-0.07246926705969362      0.004919690832184619     0.09521567754029125      -0.013022450268558299    75770.22870190657        -10362.936657047167
-0.09                     2.3790493388517554E-17   0.019290919562500085     4.461339249793894E-5     15351.226025800159       35.50220972072931
-0.08600329510920722      1.989225800497375E-17    0.037320576074503196     -2.688921677011783E-5    29698.77080647153        -21.397758824168704
-0.08719126059026323      0.0028061815367227       0.03189361773747855      -0.012738503514904593    25380.134580015314       -10136.979009952744
-0.08350477051047783      0.0034493548700323695    0.04884580772484668      -0.01562558048407573     38870.25874362817        -12434.441863604517
-0.08989771374673303      0.004289646035566085     0.01931143006600769      -0.019178214761080687    15367.547765892852       -15261.538394519719
-0.06932634674295325      0.00968801565212466      0.12201012135431666      -0.017541225220866177    97092.56960390757        -13958.863508945376
-0.07254382023836764      0.008023677594477249     0.10262086227383534      -0.024144487541984807    81663.08747616746        -19213.57270363784
-0.06880442530685911      0.012882199276243329     0.14754320977362226      -0.02868219866337891     117411.15577558214       -22824.568480102535
-0.07231458043634507      0.011365262196220739     0.11524375105634788      -0.04029633655877026     91708.063205348          -32066.80575911471
-0.08953886294855788      0.009099012137554867     0.01944563879252184      -0.041723607892615144    15474.347677046831       -33202.592198688595
-0.08654240371837024      0.006292240216203207     0.034678899937522954     -0.029026434103034304    27596.59173022999        -23098.502339145372
-0.06819995997222424      0.015772300396169555     0.19366187901467205      -0.04864965841095578     154111.22666824827       -38714.16807917907
-0.0713246153312375       0.014663546604454972     0.13780463040728413      -0.0629298361183281      109661.44055135486       -50077.972430974034
-0.08892277939118398      0.01388305821304616      0.019679692852275794     -0.06617809387586646     15660.601979849665       -52662.85382371817
-0.08486275589920014      0.010819312549016047     0.04253521480097118      -0.051823173178796714    33848.44845525057        -41239.57089056414
-0.06761480784023478      0.018117333157176466     0.2562510670772944       -0.22729072194771216     203918.11998962122       -180872.20958451965
-0.07037972882787076      0.01730006828438294      0.15529229088944527      -0.10253822388805021     123577.6785955986        -81597.32593823328
-0.08805127167313845      0.018627226222472537     0.019984361523279225     -0.09329619453333321     15903.04960482684        -74242.75265821522
-0.08453105049981041      0.015596104369051046     0.0429358019041259       -0.07837418659293455     34167.22554328024        -62368.196035360415
-0.06697793749136983      0.020345905961695613     0.07069992791654452      -0.1651898166082397      56261.21502079372        -131453.8793082251
-0.06933582098161219      0.019866786569473868     0.12843351572027079      -0.15071748761042938     102204.14442775871       -119937.16581795666
-0.08693332436601615      0.02329371405922688      0.02113646058237187      -0.12375229150488683     16819.860905757418       -98478.94455975953
-0.08358426853089702      0.0199854238424709       0.04612245904149038      -0.10557605600006836     36703.086720033374       -84014.75592278817
-0.06621697104634372      0.02270050099552178      0.08019928629144113      -0.13283408707424751     63820.564228624666       -105706.00784482867
-0.06851834358928748      0.022254856303168005     0.09996059831701219      -0.14464281557414613     79546.11668287942        -115103.09540677367
-0.0855950864665902       0.027811529493664094     0.02473283598388606      -0.15822733076041903     19681.765517582837       -125913.30911378494
-0.08258042762968872      0.024241456106210334     0.05011713088313068      -0.13416353294958383     39881.945568168674       -106763.9472579932
-0.06537315475663502      0.02502699816528254      0.0912593099695258       -0.11421454469638098     72621.85142402758        -90889.04680709627
-0.06766754013993453      0.024621659369925362     0.09868655084565121      -0.12855180034055366     78532.26191887527        -102298.27233780758
-0.06444762715978314      0.02732221355369265      0.10478747124058917      -0.10108375288419265     83387.22011019793        -80439.89468899446
-0.06673209702958242      0.0269607048080281       0.10746538956522667      -0.11702249174356423     85518.23980301006        -93123.5400695938
-0.0840222383847634       0.03225311545903732      0.033651952932698175     -0.2003086272289111      26779.373269673593       -159400.5408371651
-0.0812856732846865       0.028563132020052263     0.0595998647344583       -0.16623440614224197     47428.06540048685        -132285.13724741768
-0.0634415450925655       0.02958327832184898      0.1197736747394957       -0.08929036341236522     95312.8619353581         -71055.0135377482
-0.06574598595334409      0.029288065310858563     0.12111491841350226      -0.10687337637682609     96380.18973840249        -85047.13067646233
-0.0822190911878168       0.03660629787686086      0.053115139930754125     -0.25678313934512514     42267.68536498615        -204341.5296471581
-0.07969372019917537      0.032827727496822424     0.08090742346260543      -0.20322769102405783     64384.08188451423        -161723.45799815605
-0.06237045669318752      0.03177933498176488      0.13521182334914497      -0.07700770927018676     107598.15025242289       -61280.787932668965
-0.06466692730426409      0.0315571677735274       0.13711564315122649      -0.09588211628595061     109113.16191371037       -76300.5638051048
-0.08019058717691435      0.04085914497663523      0.09435414723351786      -0.34298585513146107     75084.64466717425        -272939.47127386375
-0.07786034480758582      0.03701067886072633      0.12609315424729137      -0.24873501306017856     100341.74394252618       -197937.03424277285
-0.06122337949975868      0.033936673417241964     0.1504217599586102       -0.06304857179029383     119701.83322997676       -50172.45927654746
-0.0634844229525753       0.03374655843154094      0.15368992215774488      -0.08259073343430232     122302.55407406854       -65723.61739827141
-0.07794228634059949      0.045                    0.4492639036105599       -0.5002585924158289      357512.8550619071        -398093.13903586456
