% Model:              
% Version:            COMSOL 5.3.1.275
% Date:               Aug 13 2018, 13:33
% Dimension:          2
% Nodes:              511
% Expressions:        6
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic field, x component, Magnetic field, y component, Remanent flux density, x component, Remanent flux density, y component
% Length unit:        m
% x                       y                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Hx (A/m)            mfnc.Hy (A/m)            mfnc.Brx (T)             mfnc.Bry (T)
0.08314696123025453       0.05555702330196022      -0.3084643833990356      0.35091081284078934      -829246.8553948357       -612236.6465887367       0.7857010647477229       1.1587380363370723
0.08241867766529745       0.0566318070690297       0.03596859899682403      0.6461810640665231       -568207.7520034794       -388457.0273955877       0.7857010647477228       1.1587380363370723
0.08219281980424811       0.055859774817545435     0.07012953701734842      0.4544076879940484       -542317.8370195637       -533798.3643258513       0.7857010647477229       1.1587380363370723
0.08166994532006408       0.05770632574872308      0.1872321550856433       0.7370172083632047       -453568.025045414        -319614.0684611804       0.7857010647477228       1.1587380363370723
0.0809004679414195        0.05878022020084101      0.2847744618991858       0.797062136028467        -379642.5950932161       -274107.17776821944      0.7857010647477228       1.1587380363370723
0.0804764592790782        0.05765650682071292      0.2916245030043987       0.7049519512570098       -374451.081272848        -343915.7073657682       0.785701064747723        1.1587380363370723
0.08011695121553537       0.059843747609316114     0.3578450422145139       0.8417151772470514       -324263.8138942741       -240265.50046334395      0.7857010647477228       1.1587380363370723
0.07968671444272261       0.05863757895270962      0.36159250488507005      0.7629187841223986       -321423.6843320296       -299983.7645757284       0.785701064747723        1.1587380363370723
0.08106741811942403       0.056270025889798764     0.2308054077063765       0.5726093467327745       -420544.698658835        -444215.61065952         0.785701064747723        1.1587380363370723
0.08189467271637704       0.05472027086847558      0.2687454370328137       0.3281586799340129       -391790.6833809591       -629480.0485791998       0.7857010647477229       1.1587380363370723
0.07932653500471526       0.06088760829713786      0.4174490568069271       0.8787122518190168       -279091.0827013979       -212226.13237730702      0.7857010647477228       1.1587380363370723
0.07879854970167922       0.05954944200506094      0.42410774593507905      0.804101895793942        -274044.59084779007      -268771.87984033953      0.785701064747723        1.1587380363370723
0.07852965653701045       0.06191197819630039      0.46844492174926816      0.9112880612377409       -240442.30183082516      -187537.55573821432      0.7857010647477228       1.1587380363370723
0.07799658021237607       0.060552188250604        0.4748894652747244       0.8445884127861132       -235558.106792505        -238087.93075520583      0.785701064747723        1.1587380363370723
0.07772227280536731       0.0629225580373849       0.5135982762523378       0.9411602469812369       -206221.44675299549      -164898.00325232555      0.7857010647477228       1.1587380363370723
0.07714699177004683       0.06159246627458722      0.522543307365738        0.8817657112963883       -199442.18047771722      -209911.9744279999       0.785701064747723        1.1587380363370723
0.0768993556193529        0.06392565295191208      0.5546847677424276       0.9694983578495829       -175082.78858656273      -143421.0964781188       0.7857010647477228       1.1587380363370723
0.07634647759649381       0.06264207364931138      0.5637723373930841       0.9167687621359398       -168195.4951075443       -183383.8384069927       0.785701064747723        1.1587380363370723
0.07606091659425789       0.064921005590189        0.5926399049975534       0.996868914001864        -146317.32330139788      -122677.48073140543      0.7857010647477228       1.1587380363370723
0.07553386180863157       0.0636498111569672       0.6016958655394068       0.9481970372886485       -139453.98575529724      -159564.9558193461       0.785701064747723        1.1587380363370723
0.08030892756637602       0.05366070983406075      0.4211173169068439       0.40549665008713065      -276310.9792373572       -570867.0950622372       0.7857010647477228       1.1587380363370723
0.07978794190811965       0.05527153433939461      0.37555846137720755      0.5200176020901971       -310839.1557095056       -484073.8779247242       0.785701064747723        1.1587380363370723
0.07520472944574975       0.0659109146423533       0.6282160765737937       1.0237538919705136       -119354.83014595007      -102301.87530937062      0.7857010647477228       1.1587380363370723
0.07469995620819032       0.06462854265306514      0.6374029995197049       0.9774796557496209       -112392.23872382566      -137372.22498726167      0.785701064747723        1.1587380363370723
0.07432962154137325       0.06689624325413367      0.661904594654109        1.0504974003122556       -93822.95310822215       -82033.48698457256       0.7857010647477228       1.1587380363370723
0.07385567938293137       0.06562378385780364      0.6712144811995091       1.0068224267341706       -86767.1699495309        -115133.90571962082      0.785701064747723        1.1587380363370723
0.07343545226609216       0.0678766112182577       0.6939888474580699       1.0773336550939516       -69506.91773126801       -61694.80792466589       0.7857010647477228       1.1587380363370723
0.0730991793529194        0.06662571896006751      0.7001688884188665       1.0365451070807585       -64823.18407688142       -92607.66048581245       0.785701064747723        1.1587380363370723
0.07831292661850944       0.05232702463942964      0.5424748164761902       0.43002733944231836      -184336.47477195706      -552275.7594987617       0.7857010647477228       1.1587380363370723
0.0780810450458334        0.05434754530941905      0.49730331379345954      0.516028474747842        -218571.08400455423      -487097.1604730997       0.785701064747723        1.1587380363370723
0.0725301860327445        0.06884309779531626      0.7244087912854497       1.104225751885669        -46452.22997552849       -41313.807284153816      0.7857010647477228       1.1587380363370723
0.07221948311088314       0.06755334075983879      0.7310915970464548       1.063518076107175        -41387.46059178115       -72165.36834096118       0.785701064747723        1.1587380363370723
0.07162178014117268       0.06978768236164262      0.7529011582423871       1.1309636320001586       -24858.415491791482      -21049.684484060755      0.7857010647477228       1.1587380363370723
0.07131919201700739       0.06844469351630665      0.7610082765530373       1.0899628557343408       -18714.18714240678       -52123.38073791677       0.785701064747723        1.1587380363370723
0.07071067811865477       0.07071067811865475      0.778522342291782        1.1595282538411573       -5440.615066418132       598.8905804422038        0.7857010647477229       1.1587380363370723
0.07067221923186852       0.06931556903294374      0.7815825647081378       1.1167714313579356       -3121.3316163054465      -31805.679177212085      0.7857010647477229       1.1587380363370723
