Case -H_Brem_II_max[A/m] -H_Brem_IV_max[A/m] A_gap[m2] A_magnet[m2] B_high[T] B_low[T] B_rem_II[T] B_rem_IV[T] H_c_II H_c_IV R_c[m] R_e[m] R_g[m] R_i[m] R_o[m] R_s[m] alpha_rem_II_1[deg] alpha_rem_II_2[deg] alpha_rem_II_3[deg] alpha_rem_IV_1[deg] alpha_rem_IV_2[deg] alpha_rem_IV_3[deg] delta_phi_S_II[deg] delta_phi_S_IV[deg] h_fc[m] h_gap[m] mu_r_II mu_r_IV n_II n_IV phi_S_II[deg] phi_S_IV[deg]
27 1798574.066984 1889966.9338520002 0.019242 0.044759 0.9402200000000001 0.06890800000000001 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.105 0.015 0.07 0.18666666666700002 40.16589699402643 55.36798713225482 302.48417585659536 338.2960913372791 11.38148172892665 132.9968092695707 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
28 1674625.1372530002 1559305.584623 0.019242 0.048738 0.742274 0.042589 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.105 0.015 0.07 0.19333333333299998 143.35641500769418 152.9905735069029 247.30614826469815 28.950963348698977 163.3256190449959 232.45727877746944 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
29 1683624.9428360001 1840193.064351 0.019242 0.05285700000000001 0.585236 0.1396 1.47 1.47 850000.0 850000.0 0.22 2.0 0.105 0.015 0.07 0.2 329.86485180245137 168.09193689634975 326.6655673065103 217.81297492920933 119.42522300374736 263.75467825625253 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
30 1305550.414591 1551655.811535 0.008246999999999999 0.026311 0.5999329999999999 0.013447999999999998 1.47 1.47 850000.0 850000.0 0.16 2.0 0.095 0.015 0.08 0.14 288.1039481015639 185.43728630982255 22.67538272176403 256.5864319595975 129.98682581138178 66.87791704407812 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
31 1324212.038707 1395070.2706860001 0.008246999999999999 0.029313 0.527708 0.019608 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.095 0.015 0.08 0.146666666667 76.63055653459794 356.14421945902285 262.26941081754484 326.85269105026737 308.0314352465593 290.91965100116533 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
32 1621356.026292 1923492.244722 0.008246999999999999 0.032454000000000004 0.674131 0.036624000000000004 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.095 0.015 0.08 0.153333333333 64.2784649357338 327.533302061094 281.7319864944768 184.12337376692315 129.81171994799428 335.82703929088024 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
33 1712566.277002 1894698.159429 0.008246999999999999 0.035736000000000004 0.843521 0.044239 1.47 1.47 850000.0 850000.0 0.18 2.0 0.095 0.015 0.08 0.16 297.92127176347236 259.3310299621034 83.22290591844107 340.65048074934174 178.2077180709134 286.73777709763345 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
34 1861356.91771 1521632.583299 0.008246999999999999 0.039156 0.41942799999999997 0.011528 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.095 0.015 0.08 0.166666666667 67.46959830188428 181.02042874906223 268.6669011416513 134.09305702850597 62.308164010229 168.65655431016168 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
35 1069223.955311 1649627.75972 0.008246999999999999 0.042717000000000005 0.854499 0.056696 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.095 0.015 0.08 0.173333333333 350.44600671936564 2.3027714823860683 299.6714305945604 269.20881364469153 29.481589264104247 243.8607720506081 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
36 1764312.454643 1824160.206948 0.008246999999999999 0.046417 0.866144 0.066241 1.47 1.47 850000.0 850000.0 0.2 2.0 0.095 0.015 0.08 0.18 259.85891428460104 242.64450494768437 90.08496300075 225.467525351512 142.8971101784163 235.52732439252503 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
37 1224701.796951 1933758.8127740002 0.008246999999999999 0.050256999999999996 1.075135 0.058410000000000004 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.095 0.015 0.08 0.18666666666700002 168.70124592722715 129.7915548436533 86.52942317206957 139.75729394115768 280.4065945351712 284.0503589836424 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
38 1163744.939998 1617457.18471 0.008246999999999999 0.054236 0.8886280000000001 0.055261000000000005 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.095 0.015 0.08 0.19333333333299998 225.29254846093747 205.91732529497816 136.0885515233496 151.52798395283432 234.1761443220663 85.30565819144681 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
39 1308373.003691 2038847.050581 0.008246999999999999 0.058355 1.086877 0.024294 1.47 1.47 850000.0 850000.0 0.22 2.0 0.095 0.015 0.08 0.2 18.90876266126591 320.64150339714126 318.81948948098795 52.12896283581565 102.03877413250041 43.60011829191532 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
40 1392503.292381 1396582.4611290002 0.014530000000000001 0.023169 0.549503 0.028923 1.47 1.47 850000.0 850000.0 0.16 2.0 0.105 0.015 0.08 0.14 209.85787540168496 120.83713570161311 39.66462457487643 325.5734631437487 235.60044056879582 47.113609821426046 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
41 1486190.324615 1213664.043819 0.014530000000000001 0.026170999999999996 0.6436109999999999 0.05669400000000001 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.105 0.015 0.08 0.146666666667 355.5945933670368 23.07306169893244 341.6091652635428 85.87132638019796 172.07074674974308 126.5626244408774 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
42 1523230.563243 1422890.920726 0.014530000000000001 0.029313 0.548272 0.030027999999999996 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.105 0.015 0.08 0.153333333333 20.731742609788984 242.70654190829362 209.27277662446733 259.829603421143 14.343127562046645 307.8224146547756 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
43 1440815.376085 1632266.2135120002 0.014530000000000001 0.032594 0.604479 0.095734 1.47 1.47 850000.0 850000.0 0.18 2.0 0.105 0.015 0.08 0.16 306.7541013980737 45.26647743363845 312.5736318966425 214.90131653628728 73.21589711190765 254.285201605671 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
44 918138.648222 1595154.887523 0.014530000000000001 0.036015 0.9185549999999999 0.035536 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.105 0.015 0.08 0.166666666667 178.8958139838137 135.2815216320524 201.1952024470849 79.71153530457924 167.4570048093416 239.67012723414246 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
45 1646596.39701 1257206.35896 0.014530000000000001 0.039575 0.351759 0.014133000000000001 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.105 0.015 0.08 0.173333333333 153.72538595693885 269.0765090995053 341.3525494189318 119.24896309154957 11.233858845085738 357.00783090941354 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
46 1630843.370817 1326886.548614 0.014530000000000001 0.043275 0.625696 0.10338 1.47 1.47 850000.0 850000.0 0.2 2.0 0.105 0.015 0.08 0.18 278.84180693831416 146.3499321383975 252.2318118288916 293.64867687928347 343.7502662084805 33.345386597261275 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
47 1802791.2854099998 1517001.771605 0.014530000000000001 0.047115 0.809914 0.097848 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.105 0.015 0.08 0.18666666666700002 212.12670222403045 13.47563828550452 266.65794383958445 84.2796279096893 194.64627148567908 249.82129342683876 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
48 1968296.182937 1633036.0417290002 0.014530000000000001 0.051095 0.8370850000000001 0.059233 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.105 0.015 0.08 0.19333333333299998 358.4819222840204 153.81298249562056 60.19974764427018 24.71861357574468 128.9706274187422 275.12357324438085 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
49 2220220.126503 1812201.132816 0.014530000000000001 0.055213 0.9359930000000001 0.154975 1.47 1.47 850000.0 850000.0 0.22 2.0 0.105 0.015 0.08 0.2 328.29125495072986 7.380924345384501 339.5363105441268 147.55694758056092 209.5417737887551 309.39259939565466 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
50 1000545.110174 1445765.634165 0.021440999999999998 0.019712999999999998 0.5002800000000001 0.056901 1.47 1.47 850000.0 850000.0 0.16 2.0 0.115 0.015 0.08 0.14 354.77188847913874 299.75840792114485 33.144371669922464 255.60670888421603 28.68085849540884 264.6188876950394 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
51 1974696.991332 1154651.3804940002 0.021440999999999998 0.022715 0.277301 0.018672 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.115 0.015 0.08 0.146666666667 243.97250669901283 147.29386726863763 320.02134701435614 277.5867708371119 309.54140233318435 305.5728652189936 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
52 1605567.7360770002 1645182.452701 0.021440999999999998 0.025856999999999998 0.376377 0.128414 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.115 0.015 0.08 0.153333333333 202.93733884905518 191.13672760676064 238.56747544406304 67.29952351959253 0.3669025169396623 32.27330770927094 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
53 2319452.3588529998 1400911.260409 0.021440999999999998 0.029138 0.366796 0.037101999999999996 1.47 1.47 850000.0 850000.0 0.18 2.0 0.115 0.015 0.08 0.16 258.5111086197768 172.48763304653352 273.20861582386243 120.30567666793434 289.2723881281818 209.02045540270055 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
54 1843574.112934 1936800.223017 0.021440999999999998 0.032559 0.460373 0.027208999999999997 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.115 0.015 0.08 0.166666666667 14.68485266427506 153.29166631648343 205.19819853711348 292.62451694463164 167.39725860611222 302.54118561285617 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
55 1673951.081756 1564160.99496 0.021440999999999998 0.03612 0.400433 0.01444 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.115 0.015 0.08 0.173333333333 141.02478390524604 140.28160299397538 0.2291277408261383 315.7733532660913 350.94354304074824 308.2714092589452 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
56 2335453.2137349998 1492045.75926 0.021440999999999998 0.03982 0.300479 0.022934 1.47 1.47 850000.0 850000.0 0.2 2.0 0.115 0.015 0.08 0.18 57.15611077412306 71.4236705910112 80.91146904497334 319.7322549078603 350.9850553705995 339.84110724299234 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
57 1283561.589224 1458256.011327 0.021440999999999998 0.043658999999999996 0.538392 0.12166800000000001 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.115 0.015 0.08 0.18666666666700002 307.897291062223 198.18115227749146 122.64632342366015 321.1716205534801 12.46515056197989 13.085477565073678 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
58 1673395.964407 1801542.574268 0.021440999999999998 0.047639 0.633977 0.048809 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.115 0.015 0.08 0.19333333333299998 17.500470631070648 274.4253317051742 289.3674058741594 218.11233143194642 9.846365462012447 316.2779359338591 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
59 1011846.3317430001 888565.1987129999 0.021440999999999998 0.051758000000000005 0.499224 0.018222 1.47 1.47 850000.0 850000.0 0.22 2.0 0.115 0.015 0.08 0.2 8.570071748240379 300.0098283692021 228.07229690830673 359.4896378099905 351.50417548352567 274.0611039827701 15.0 15.0 0.02 0.035 1.05 1.05 3 3 45.0 45.0
60 1587575.081027 1082781.917318 0.009189 0.02584 0.748459 0.043604000000000004 1.47 1.47 850000.0 850000.0 0.16 2.0 0.105 0.015 0.09 0.14 122.79052531779587 29.874579447981187 315.6288360655964 14.759343091877913 324.29778994566374 212.25637683683445 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
61 2043035.5737150002 1482243.474959 0.009189 0.028842000000000003 0.607363 0.010320000000000001 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.105 0.015 0.09 0.146666666667 317.2129543824011 230.0625839466758 266.022254924619 312.4690483107676 169.76820866904916 163.0462508374116 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
62 1632396.316693 1563699.2077020002 0.009189 0.031983 0.514204 0.047557999999999996 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.105 0.015 0.09 0.153333333333 24.015168501699165 160.55044122629047 209.258245590784 75.65738326891888 296.3664281620336 344.11219549904155 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
63 1396943.774279 1465685.749905 0.009189 0.035264 0.605739 0.013581000000000001 1.47 1.47 850000.0 850000.0 0.18 2.0 0.105 0.015 0.09 0.16 148.95251619138168 15.676484282574863 184.48356519957423 71.72473163426531 350.9333896334369 281.2696529414281 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
64 2134094.627373 1498739.692924 0.009189 0.038685000000000004 0.49833299999999997 0.014994 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.105 0.015 0.09 0.166666666667 139.3741323155471 186.492178399789 313.9546251168877 324.8766020729338 196.84260002858304 106.71084482860351 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
65 1353515.144905 1551157.393599 0.009189 0.042246 0.862383 0.026014999999999996 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.105 0.015 0.09 0.173333333333 205.98728552178187 150.4952821458891 77.5705095524431 251.22479513361137 37.942336527558105 222.95446170515342 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
66 1934998.736958 1640288.1314 0.009189 0.045946 0.841879 0.039227 1.47 1.47 850000.0 850000.0 0.2 2.0 0.105 0.015 0.09 0.18 180.2598163364734 307.7530456635908 44.89420902676469 5.769503362698548 58.811710852885376 246.36987346474342 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
67 1928609.1371349997 1915885.4967450001 0.009189 0.049786000000000004 0.84652 0.075775 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.105 0.015 0.09 0.18666666666700002 227.0580945348497 95.04956927421793 131.14518741394397 273.00557164500475 37.16516717072649 25.996349121379808 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
68 1551767.243707 1898047.127743 0.009189 0.053765 0.8663790000000001 0.038901 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.105 0.015 0.09 0.19333333333299998 211.82287157608127 130.58251878001462 169.12387506337132 238.09000801765427 264.78274729761927 146.08555866119352 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
69 2059824.696211 1389623.6297950002 0.009189 0.057884000000000005 0.632374 0.024711 1.47 1.47 850000.0 850000.0 0.22 2.0 0.105 0.015 0.09 0.2 105.53718037217642 193.96535691287457 335.1423653215886 258.10226285011186 359.27620640661416 316.4542336381182 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
70 1220475.229636 1444625.2569459998 0.016101 0.022384 0.539359 0.059586 1.47 1.47 850000.0 850000.0 0.16 2.0 0.115 0.015 0.09 0.14 234.16468008281342 167.80168227974656 216.73367052280182 116.55302804553499 266.39615566977096 103.50521141572833 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
71 1359919.366583 1343925.542438 0.016101 0.025386000000000002 0.49345 0.037429000000000004 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.115 0.015 0.09 0.146666666667 294.059466666376 34.013652521401745 341.67509082745966 159.0846848505274 122.50201259412741 109.04205499778135 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
72 1387453.614786 1383059.557525 0.016101 0.028526999999999997 0.606348 0.012119 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.115 0.015 0.09 0.153333333333 184.65599466370458 62.987897594176 64.46281841137116 211.3016765023888 35.48847346211154 341.04959743486563 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
73 1461185.718647 1706524.139958 0.016101 0.031809 0.619746 0.045244 1.47 1.47 850000.0 850000.0 0.18 2.0 0.115 0.015 0.09 0.16 234.8148024995245 74.33584778990105 321.7850151701565 244.91355876134378 213.0844251995676 347.91495244044205 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
74 1761903.6201419998 1393625.268354 0.016101 0.035229 0.524714 0.024063 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.115 0.015 0.09 0.166666666667 252.31289377162426 101.29846193579651 147.87915288056118 21.791734106959925 314.6202572312248 205.70838191224462 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
