% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Sep 1 2017, 12:49
% Dimension:          2
% Nodes:              574
% Expressions:        6
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic field, x component, Magnetic field, y component, Remanent flux density, x component, Remanent flux density, y component
% Length unit:        m
% x                       y                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Hx (A/m)            mfnc.Hy (A/m)            mfnc.Brx (T)             mfnc.Bry (T)
0.1465826371037814        0.10446784433356106      -0.4507713934845052      0.6763328186325044       -341630.93084514653      -245301.103958371        6.123233995736766E-17    1
0.14499099849648728       0.10666588186946954      -0.3585437143766262      0.7353231072353155       -271733.3545598511       -200593.50383668122      6.123233995736766E-17    1
0.14403472651842547       0.1045531934031197       -0.3440700820441825      0.6547868288930058       -260764.06822555067      -261630.39334336377      6.123233995736766E-17    1
0.14814047363223257       0.10224676069205224      -0.6031922614882996      0.5745747401680389       -457147.7621459143       -322421.585801955        6.123233995736766E-17    1
0.14532633717803398       0.10238833375824177      -0.4047203798285821      0.558850391754172        -306729.7572368965       -334338.7656922699       6.123233995736766E-17    1
0.14966453021445814       0.10000264194352838      -0.9587369752045662      0.24466467089728178      -726608.232041803        -572454.0538982912       6.123233995736766E-17    1
0.1469028265706864        0.10069534213258496      -0.47399972701923543     0.41530301556978344      -359235.23609200167      -443130.5489666378       6.123233995736766E-17    1
0.14711017513108907       0.09829587644316061      -0.333251343505433       0.25119519518202177      -252564.75529002317      -567504.6957035387       6.123233995736766E-17    1
0.14336281835531162       0.10884439495546813      -0.2923996450502899      0.7773944595780522       -221604.04222890138      -168708.43865616998      6.123233995736766E-17    1
0.14228415779854503       0.10650238756393217      -0.27982364387884423     0.709368269041001        -212072.93389192503      -220264.17429275476      6.123233995736766E-17    1
0.14169756053262722       0.11100360957690719      -0.24018511678292942     0.8113420496486238       -182031.659967178        -142980.2159619376       6.123233995736766E-17    1
0.14054599956909034       0.10835865378284915      -0.22946677986071018     0.7491776540558565       -173908.43947719908      -190093.41045198028      6.123233995736766E-17    1
0.13999820867111196       0.11313930161035901      -0.19689687336422732     0.8404027486881774       -149224.33654883679      -120955.67357217164      6.123233995736766E-17    1
0.13891199240481522       0.11044681241036391      -0.18860572845884296     0.787091919320282        -142940.6379984411       -161358.921258977        6.123233995736766E-17    1
0.13827110432709214       0.11524366233405813      -0.159874755469359       0.8662833580086587       -121165.9886121739       -101341.25974557742      6.123233995736766E-17    1
0.13719656440512415       0.11259655184180899      -0.15163472764747307     0.8204322881517644       -114921.03071185062      -136090.89981118005      6.123233995736766E-17    1
0.13651699569967382       0.11731628141539112      -0.12732529658112357     0.890143212730201        -96497.382531083         -83258.3367913491        6.123233995736766E-17    1
0.13543003295597514       0.11467440773385407      -0.11860134108950747     0.8489621945230538       -89885.66519868112       -114468.63493051496      6.123233995736766E-17    1
0.13473342604576652       0.11936039504781293      -0.0980255878259315      0.9127540677708246       -74291.69929517012       -66122.0065663513        6.123233995736766E-17    1
0.13371498894013045       0.11670051311869419      -0.08978864616893338     0.87485129551223         -68049.08033959488       -94847.7854322641        6.123233995736766E-17    1
0.13291920053433315       0.12137745313407146      -0.07116009926835347     0.9346483469809906       -53930.86452127822       -49528.755320008204      6.123233995736766E-17    1
0.1321378786998406        0.11872174786671606      -0.06530323747928539     0.8995969477262898       -49492.06211777239       -76093.53367083299       6.123233995736766E-17    1
0.14396875739699397       0.09619684822045739      -0.18223888057660778     0.3572391316576802       -138115.32698714634      -487136.04487009114      6.123233995736766E-17    1
0.14361036673246633       0.0997359627429382       -0.2827948848647402      0.4649988101580486       -214324.78003488967      -405467.066301867        6.123233995736766E-17    1
0.1310737624796392        0.12336802174563358      -0.04612253226694255     0.9562505914688625       -34955.3761819017        -33156.831547987         6.123233995736766E-17    1
0.13039234694533902       0.12073440386106112      -0.0405205508208852      0.9232494996484025       -30709.742666429753      -58167.721503490386      6.123233995736766E-17    1
0.1291938193616233        0.1253353782407674       -0.02234776439105139     0.9780008708108198       -16936.938904232753      -16672.715019882093      6.123233995736766E-17    1
0.1285626333001616        0.12261397961248151      -0.016387990743550785    0.9450035067310432       -12420.141591334963      -41680.77979273644       6.123233995736766E-17    1
0.12727922061357855       0.12727922061357852      7.055830923938788E-4     1.0001344645511634       534.747794840674         101.90808565854331       6.123233995736766E-17    1
0.12722633726639335       0.12439165312350112      6.403132024253232E-4     0.9658545194330518       485.28100615705625       -25878.20007846692       6.123233995736766E-17    1
0.14012206874341437       0.09362657303540899      -0.06672419067496567     0.41995232527926696      -50568.97509393783       -439606.9269560214       6.123233995736766E-17    1
0.1396159632611673        0.09789445582620593      -0.139213808671618       0.4962988693496464       -105507.45617493991      -381745.3561141922       6.123233995736766E-17    1
0.12508115291383287       0.12508115291383284      0.0265592804493521       0.9737316685076484       20128.765564182435       -19908.26097040124       6.123233995736766E-17    1
0.13549896368181624       0.09053751299239253      0.025605733033088187     0.4628436227439736       19406.090398606688       -407100.44120776915      6.123233995736766E-17    1
0.13493387563677003       0.09560172457351346      -0.03173942012448477     0.5248848552690282       -24054.69335086734       -360080.58962740673      6.123233995736766E-17    1
0.12237770172859376       0.12237770172859373      0.05960068342173582      0.9405705006347276       45170.20656297344        -45040.46947361793       6.123233995736766E-17    1
0.12573131929919507       0.12212547952139378      0.018142721497881115     0.9378014039455399       13750.01813108269        -47139.11435925423       6.123233995736766E-17    1
0.12998647342199904       0.08685418475904445      0.10579988135715122      0.49279744715172863      80183.68617393653        -384399.01635538414      6.123233995736766E-17    1
0.12937157091231982       0.09282565246792673      0.0590418552378477       0.5479970791099319       44746.681478188395       -342564.28167442506      6.123233995736766E-17    1
0.12355921924629373       0.08255963081836057      0.17712650280991624      0.5125624343881346       134240.75464180307       -369419.5143609925       6.123233995736766E-17    1
0.123224180387284         0.08898347732987756      0.14007562961588507      0.557718958810041        106160.61361941707       -335196.25686291495      6.123233995736766E-17    1
0.11907229917987222       0.11907229917987219      0.10056279367287352      0.8995759004338537       76214.59859127708        -76109.48500716592       6.123233995736766E-17    1
0.12404918721454106       0.11802811490184938      0.03858400546501296      0.8863168470238783       29242.072352578605       -86158.26544010427       6.123233995736766E-17    1
0.11703391652679429       0.07819956293523433      0.23472644376142973      0.5230874938487919       177894.63713815864       -361442.7751252795       6.123233995736766E-17    1
0.11674728284171383       0.08521079832676005      0.20496272170788069      0.5645601933538835       155337.28718751296       -330011.4173652789       6.123233995736766E-17    1
0.11085348405440931       0.07406992998408395      0.27997431261409966      0.5279901518316229       212187.12281566448       -357727.1453526295       6.123233995736766E-17    1
0.11036814194614318       0.08151335864176006      0.2570427388700616       0.5664570545919363       194807.7260811884        -328573.8228776812       6.123233995736766E-17    1
0.11509462704170145       0.11509462704170142      0.1484218563261925       0.8516127451038987       112486.0576056601        -112459.83385024559      6.123233995736766E-17    1
0.12038010269793009       0.11366975579433124      0.08569347689523861      0.8329724333782882       64945.43066003971        -126586.96600217279      6.123233995736766E-17    1
0.10499877428930106       0.07015793798782108      0.3165280249613093       0.530221003724208        239890.47523670094       -356036.4258001971       6.123233995736766E-17    1
0.10418563586879194       0.07709258574535893      0.30119036996586906      0.5619948295983813       228266.3628178323        -331955.65699631226      6.123233995736766E-17    1
0.09945393340654862       0.06645299375930432      0.34651716479565337      0.5314668603739104       262618.66496865294       -355092.2151136063       6.123233995736766E-17    1
0.0984396818677666        0.07295030167162869      0.3353698877492654       0.5574895953789953       254170.35904509356       -335370.08697632176      6.123233995736766E-17    1
0.11035130730746738       0.11035130730746737      0.20106202553647967      0.7989383109185826       152381.02491523628       -152380.76992244454      6.123233995736766E-17    1
0.11656391335837925       0.10901374524077352      0.1344800508241382       0.7812368141483          101919.83255195666       -165796.3923563288       6.123233995736766E-17    1
0.08451435181884787       0.056470684482950194     0.4065586845884424       0.5436685527617403       308122.97290090175       -345844.7881726069       6.123233995736766E-17    1
0.08922640314391181       0.05961917651913724      0.39127208995857815      0.5363863901125833       296537.55814668786       -351363.7985631428       6.123233995736766E-17    1
0.0848684308718806        0.06134598111400926      0.3954355691405007       0.5484991362015301       299692.97858603625       -342183.7823037479       6.123233995736766E-17    1
0.09420157063278195       0.06294347715527086      0.37126006551572016      0.5330567181799512       281370.8314259417        -353887.292596251        6.123233995736766E-17    1
0.0886859372705772        0.06490737273309728      0.3818219411165833       0.5493625428311324       289375.4729030801        -341529.4230989883       6.123233995736766E-17    1
0.0927794995307979        0.06903277640589614      0.36311691127533313      0.5542580822867167       275199.2921415735        -337819.18832061853      6.123233995736766E-17    1
0.10482550367756602       0.10482550367756599      0.25421058992670437      0.7458897347843366       192661.29511019887       -192585.26094983486      6.123233995736766E-17    1
0.11201975649988329       0.10362639008806168      0.18855861074506328      0.7301556680692417       142904.9283934161        -204509.80615290639      6.123233995736766E-17    1
0.09925651296522346       0.09925651296522345      0.29859632649105317      0.7014652076336435       226300.3873815836        -226253.75185722974      6.123233995736766E-17    1
0.10701616681980015       0.09766913879283581      0.24056128070590796      0.6843335904967026       182316.74733743918       -239237.47352628675      6.123233995736766E-17    1
0.08005079696421721       0.05348823247990501      0.41643641573635776      0.5596456664025697       315609.1145138708        -333736.04239985003      6.123233995736766E-17    1
0.08015097563157168       0.0582593608232499       0.4029070682421787       0.5541978838087748       305355.48341622064       -337864.81158409984      6.123233995736766E-17    1
0.07582489014260513       0.05066457181586638      0.4210147355916582       0.5965618063035308       319078.9346854272        -305758.01313742186      6.123233995736766E-17    1
0.07602611239964034       0.055177848408380435     0.39685043444219037      0.5686805229950816       300765.2776649559        -326888.69912925636      6.123233995736766E-17    1
0.07206756838710493       0.0481540096830517       0.4260767518635637       0.6763720127674776       322915.3390267861        -245271.39948065105      6.123233995736766E-17    1
0.07222285510316889       0.05219341121446285      0.36586181783625177      0.6119299409598484       277279.6037963144        -294110.800772399        6.123233995736766E-17    1
0.06901197782111125       0.046112329340626985     0.3787886883881075       1.096124535296415        287076.6292583948        72850.928308742          6.123233995736766E-17    1
0.06946803330076212       0.04929140592349923      0.3074831520306739       0.7131197346711817       233035.54077694518       -217421.01096474248      6.123233995736766E-17    1
0.09398341689579028       0.09398341689579026      0.33312331099383513      0.6668064077826693       252467.7219228932        -252520.98670444495      6.123233995736766E-17    1
0.10161069693836482       0.09202923096539029      0.28663858922952895      0.6503641287114497       217237.8493179373        -264982.27237054514      6.123233995736766E-17    1
0.08899040703315013       0.08899040703315012      0.3601924608709906       0.6396692677712656       272982.90767643927       -273087.70086726284      6.123233995736766E-17    1
0.09596913095611967       0.0868209456830202       0.32532157169283077      0.6254231569700796       246554.93442542103       -283884.5530284229       6.123233995736766E-17    1
0.0671484105331268        0.04878617594026682      0.1609151063643443       0.7362394896949399       121954.45045734996       -199898.99527376727      6.123233995736766E-17    1
0.08426269526999541       0.08426269526999541      0.3815909075084479       0.6182447538873483       289200.37699472246       -289324.9260480551       6.123233995736766E-17    1
0.09067935434260684       0.0821097586633096       0.3548950498800781       0.6068187599447773       268968.10222504375       -297984.4661228086       6.123233995736766E-17    1
0.07978613831316445       0.07978613831316442      0.39872674292574367      0.6010898654232759       302187.29561696906       -302326.2846063753       6.123233995736766E-17    1
0.08563364468521578       0.07761898786230018      0.37812300952998684      0.5918132127719629       286572.12411181553       -309356.8804387707       6.123233995736766E-17    1
0.06518130526310506       0.051384797792712135     0.1291447616589977       0.5719926522077642       97876.31996406738        -324378.50038469693      6.123233995736766E-17    1
0.06826856497583905       0.051877324107852334     0.25921964042397516      0.6154805677126441       196457.55771418728       -291419.8493496287       6.123233995736766E-17    1
0.07554736892605471       0.0755473689260547       0.41310280355326984      0.5867456162189493       313082.6342410623        -313197.5139673781       6.123233995736766E-17    1
0.08056016453910206       0.07370079736483609      0.3969564489279452       0.5804574156683976       300845.6239956569        -317963.21968534705      6.123233995736766E-17    1
0.07160773304778711       0.07160773304778709      0.42679976208206255      0.5730813462543104       323463.2945038339        -323553.4001988752       6.123233995736766E-17    1
0.07610595947976852       0.0701531420444105       0.41065874774638994      0.5692819281374628       311230.33156078897       -326432.90579015703      6.123233995736766E-17    1
0.06311369514479918       0.05390418801140922      0.13070050785107565      0.4043380697270636       99055.3899481893         -451440.6695933225       6.123233995736766E-17    1
0.06617936300304247       0.054301424472123515     0.24261896815609094      0.5027745871673804       183876.22890427147       -376837.53468199866      6.123233995736766E-17    1
0.06804183197702915       0.06804183197702912      0.44440632030617416      0.5552525175109527       336806.96484765597       -337065.5250752763       6.123233995736766E-17    1
0.07200520714671338       0.06694624431771479      0.4218570996341134       0.554282772406837        319717.3461199016        -337800.47615555814      6.123233995736766E-17    1
0.06452607971197905       0.06452607971197903      0.48143469839374786      0.5164244667126833       364870.05726343207       -366492.55467131356      6.123233995736766E-17    1
0.06880584761557006       0.06383024304582949      0.4290154291399646       0.5271050696628663       325142.50576341          -358397.93202977284      6.123233995736766E-17    1
0.06130635476045412       0.0613063547604541       0.5889614984911371       0.4009041002900915       446362.54178892524       -454043.2086900873       6.123233995736766E-17    1
0.06525907772316453       0.06026328281186505      0.42190998646286554      0.445121769077002        319757.4280257128        -420531.4917403871       6.123233995736766E-17    1
0.0609487682831548        0.056340461879241834     0.1382765424514142       0.16649531368093617      104797.12021332794       -631697.0996092318       6.123233995736766E-17    1
0.06403819855452982       0.056712185783788005     0.29382081621864997      0.37595759243961746      222681.12040234986       -472949.68505810486      6.123233995736766E-17    1
0.05868986283848343       0.05868986283848343      0.9471442360443751       -0.20572095879634583     717822.3189879009        -913792.6218187519       6.123233995736766E-17    1
0.06190714493936872       0.05848686517837767      0.39499031822630887      0.24268309869043786      299355.531519799         -573955.8491926375       6.123233995736766E-17    1
0.14178620293337402       0.10423890465656864      -0.2685059939915419      0.6417018947415598       -203495.50568360309      -271547.2121540046       6.123233995736766E-17    1
0.14311397801887207       0.10261100217010062      -0.3055939220133948      0.5815866613822179       -231603.72984414743      -317107.3861743001       6.123233995736766E-17    1
0.13952416664504155       0.10551857577951329      -0.20849877993697974     0.6809036749856915       -158017.19740761723      -241836.940230882        6.123233995736766E-17    1
0.13618505014112345       0.10993064221217155      -0.13898264577832276     0.7723218842192634       -105332.26228385721      -172552.84552549102      6.123233995736766E-17    1
0.13763586183137316       0.10778209638230468      -0.1678297911089902      0.7319482205793006       -127194.95644321917      -203151.26523515556      6.123233995736766E-17    1
0.13438299793062697       0.11214448475004732      -0.1064617291037322      0.8080016888020934       -80685.28779509185       -145511.81091639446      6.123233995736766E-17    1
0.13380205872022116       0.10977699427132101      -0.09780668993423156     0.7692862043070223       -74125.80081185374       -174853.52868586202      6.123233995736766E-17    1
0.13260012414849798       0.1138916999086555       -0.07757118109554387     0.8330667021064196       -58789.6995849162        -126515.5215542628       6.123233995736766E-17    1
0.1308714760910286        0.11623854673973542      -0.051145786781655767    0.8648575010692529       -38762.403736307846      -102421.889174379        6.123233995736766E-17    1
0.12990365189830763       0.11843860801219859      -0.03641440255359293     0.8934381320083474       -27597.772219726         -80761.18112370244       6.123233995736766E-17    1
0.1399533110890761        0.10193523002170338      -0.2015026745416894      0.5867515744306635       -152714.98428355853      -313192.9983538242       6.123233995736766E-17    1
0.1363414264129859        0.10442371223336883      -0.1341989139011317      0.6657846399750312       -101706.7643091847       -253295.36478672005      6.123233995736766E-17    1
0.1346981300912536        0.10743145127698148      -0.11132513809554978     0.7278296391824709       -84371.17151568868       -206272.65851054512      6.123233995736766E-17    1
0.1316755620257742        0.11104609900763779      -0.064525713697049       0.7900416978269909       -48902.791863894156      -159123.341114363        6.123233995736766E-17    1
0.13207706557371285       0.10831661085467102      -0.06797349765831247     0.7469323027916317       -51515.80072174196       -191795.11879807076      6.123233995736766E-17    1
