% Model:              
% Version:            COMSOL 5.3.0.223
% Date:               May 24 2017, 15:31
% Dimension:          2
% Nodes:              354
% Expressions:        4
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic field, x component, Magnetic field, y component
% Length unit:        m
% x                       y                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Hx (A/m)            mfnc.Hy (A/m)
-0.08989205240333677      0.004406689768495027     1.1872098145832224       0.07121625420437755      944751.5523906619        56672.0944255783
-0.09                     2.3790493388517554E-17   1.4021575876268275       0.13308372530253948      1115801.5553230848       105904.66363491553
-0.08707178754870958      0.002872705493406709     1.2489738715269403       0.018736246627673304     993901.8272306718        14909.831328915305
-0.08599999999999995      1.9891495857867376E-17   1.2717562069854906       -0.005706518017720423    1012031.4337477022       -4541.102751815847
-0.08953051502549945      0.009180788597327377     1.124360209608744        -0.031350528948079534    894737.4258753558        -24947.95825316208
-0.08627374185436708      0.0063923900491260404    1.2100868831407263       -0.019078131671653394    962956.5451125564        -15181.89480250841
-0.08199999999999996      1.8966310004013085E-17   1.2872659497631345       -5.342326001538305E-4    1024373.6948934313       -425.12879537659074
-0.08390106854841417      0.003285959656685954     1.2643449363795654       -0.01311510646965959     1006133.7319900788       -10436.670119114104
-0.07799999999999997      1.804112415015879E-17    1.3269744032859896       -2.5236122828220655E-4   1055972.678196917        -200.822684629277
-0.08004293457535303      0.003372438177376821     1.29765059240899         -0.034327005197109614    1032637.5309400855       -27316.562793305882
-0.08891560109248267      0.013928958409101902     1.1104504194234492       -0.13159054964447217     883668.3665485518        -104716.432200486
-0.0854722708266432       0.010920906041477779     1.1837351728539665       -0.09205822004604221     941986.5203572396        -73257.60386284515
-0.0880490534209499       0.01863770886334242      1.1458434125961785       -0.2297763312436806      911833.2156198397        -182850.1946147624
-0.08503938514638627      0.01559471721176393      1.1762202533344324       -0.16253473520573405     936006.3374148813        -129341.0326606244
-0.08693332436601615      0.02329371405922688      1.3357642766958226       -0.15653247214737198     1062967.437208552        -124564.5834832434
-0.08397216625739788      0.019973211922296997     1.2024873797065194       -0.18993662316490792     956909.0524295674        -151146.76225438845
-0.0855950864665902       0.027811529493664094     1.0964756866086491       -0.0684655855314044      872547.6275192321        -54483.181845019804
-0.08258284564382055      0.02435640766782234      1.173449962642654        -0.1554363562097525      933801.8101278913        -123692.32213487364
-0.07399999999999998      1.7115938296304497E-17   1.3838475485753865       -3.5634279624959897E-4   1101230.8892068726       -283.5685872915589
-0.0762088528391609       0.003171229233875958     1.3458998134227818       -0.04445533256927268     1071033.041063477        -35376.42962596938
-0.0840222383847634       0.03225311545903732      1.0217246724408264       -0.14155112873276715     813062.6604895258        -112642.80919028555
-0.08117271248196326      0.02885115924324401      1.0948552978281396       -0.1665464212670936      871258.1630984884        -132533.43099461557
-0.0822190911878168       0.03660629787686086      0.9940454212859552       -0.20496902604016243     791036.2122776266        -163109.1683751163
-0.07981909549067048      0.033281937240779394     1.0382232341196846       -0.20096876691407736     826191.7987150097        -159925.86330729182
-0.08019058717691435      0.04085914497663523      1.021006863460468        -0.25981816712839295     812491.4462524267        -206756.72801779964
-0.07807781242225095      0.03725618143349638      1.0181942245170912       -0.2250500557114977      810253.2192975706        -179089.14404795645
-0.07794228634059949      0.045                    1.204844828338071        -0.1184251210343664      958785.0504435505        -94239.71699437701
-0.0757712790674265       0.0412366044419944       1.0266673196902147       -0.19532396880035893     816995.8941980242        -155433.87569452132
-0.07543893307406027      0.04908123242796024      0.9581216518526713       0.0366294492595177       762448.9848786233        29148.789561930036
-0.07361640380148265      0.0453971538953846       0.9767449652723302       -0.07906815229989443     777268.946816065         -62920.43639835506
-0.07272208543171381      0.05302356353983118      0.8986519204996597       0.0600012327121805       715124.4763327291        47747.463888753286
-0.07116126829044118      0.049009259384505795     0.8883656258659925       -0.013920634308605384    706938.9031474901        -11077.688805945878
-0.06667928004706408      0.0604472796112877       0.9509394012976644       0.3213579646585228       756733.531486854         255728.54288677254
-0.06979943217146506      0.05681583642384443      0.8950905188880078       0.139478207193343        712290.4029785799        110993.23064208047
-0.06551996735785426      0.056596478363626315     0.7484216944486254       0.22452249823738954      595575.0609435543        178669.32714910954
-0.06833865427365797      0.05270289770756211      0.8137969769772803       0.0640511182984633       647599.0577958775        50970.26043882091
-0.06363961030678927      0.06363961030678929      0.6987550520891893       1.5885810278301606       556051.6027521465        1264152.6154058692
-0.06362671413545756      0.059473818935506385     0.6666429123184963       0.3896031961016559       530497.5738633282        310036.37251989794
-0.07                     6.938893903907228E-18    1.457705880788068        -0.0012472806676339793   1160005.4825077306       -992.5544183845359
-0.07286163851596963      0.002740350700865291     1.3994891151908457       -0.04796803135940159     1113678.0524296302       -38171.74650617906
-0.06081118318204308      0.06081118318204308      0.3452841072385564       0.4236263396747662       274768.36219044164       337111.12991582666
-0.06987146147846852      0.004240149863258145     1.4493057537268264       -0.08734304994864532     1153320.8737857477       -69505.39072024608
-0.06939219897107776      0.009204494660672817     1.4193318564492936       -0.18673834464399428     1129468.4042085074       -148601.65307444823
-0.07357496219494186      0.0069507526167451655    1.3676182336452993       -0.11382631093130553     1088316.0107362804       -90580.10019316156
-0.057982756057296886     0.057982756057296886     0.33369985959336007      0.19046941688444505      265549.9108167735        151570.74602495172
-0.06159496757118724      0.057038048538865106     0.5316767659156186       0.2465725191467684       423094.92711291625       196216.17626414602
-0.0685153533339143       0.014340375083270209     1.3653450411667833       -0.2834580564440049      1086507.0616385045       -225568.75421142427
-0.0729859777464164       0.012446728461599733     1.3284970665812164       -0.199178258365329       1057184.3751474167       -158501.0218763838
-0.06728311419607705      0.019312755993841434     1.2876852937485423       -0.36662219101686166     1024707.3982340988       -291748.669737573
-0.07190772077813477      0.017742523661886177     1.2737525334683228       -0.27133823089639436     1013620.0598865421       -215924.10348485605
-0.05515432893255069      0.0551543289325507       0.3117221513614129       0.031998887132926195     248060.60630204427       25463.905303224252
-0.058988338303511634     0.05403268984460365      0.46409422364357794      0.06536979204357202      369314.448766355         52019.627663118685
-0.06567638943472168      0.024220071651809387     1.1836111816607284       -0.43267931489415395     941887.8513007212        -344315.25869509665
-0.07033213636771783      0.022925657927484692     1.197308535312374        -0.3299947915874572      952787.8590054071        -262601.511378618
-0.06367952294575811      0.029067479378175668     1.0532007876132583       -0.4759547147804222      838110.5570846373        -378752.72772598686
-0.06856312988840398      0.028058769640990147     1.0977607567824734       -0.3671095557631132      873570.2538711525        -292136.5022798463
-0.061317588810965454     0.033766156168704826     0.8962351991556431       -0.488029378550436       713201.3105928494        -388361.43985183846
-0.06633171897388743      0.032969114567769894     0.9832760034838511       -0.38056840483095283     782466.1818904931        -302846.71406721853
-0.05860877225235034      0.03827547276092264      0.7133926856252187       -0.460048452641222       567699.8614142804        -366094.92649814097
-0.06357872735376127      0.03805250047554624      0.8372886823060576       -0.3554538919268635      666293.1629195431        -282861.21970706334
-0.05232590180780449      0.052325901807804505     0.27049613687199686      -0.09244940948455253     215253.98635220097       -73568.90252696644
-0.05625900467027748      0.051369169482405636     0.40767020547340094      -0.0708599454545477      324413.641761902         -56388.552931566745
-0.05557625504585236      0.04255913386193814      0.5161363116375889       -0.3895766502656974      410728.2265317061        -310015.2480148414
-0.0605257911276225       0.04264063298592325      0.6753361453767308       -0.29582758713719853     537415.4289266678        -235412.11397916768
-0.052404822944396766     0.04640834550128269      0.3345419355560047       -0.2916432404425296      266220.01357634226       -232082.31667883377
-0.05700003316396244      0.04665622014456426      0.497373216447767        -0.22210697991751324     395797.0297958865        -176747.11874542278
-0.049497474683058325     0.049497474683058325     0.20416046668498805      -0.20295657283836707     162465.73728432035       -161507.7090010821
-0.05349351670934711      0.04940536175784543      0.33972911472097544      -0.1721091375358766      270347.8396003841        -136960.09995058813
-0.08175121100189256      0.007677221387865995     1.2546005602111605       -0.07312288691422651     998379.4038173364        -58189.34452774409
-0.0778577536469159       0.006312492809226423     1.3101816672733748       -0.07978708572978888     1042609.4434746926       -63492.54544396361
-0.08125325703647127      0.012910900866684739     1.2294379076642266       -0.1395009165020972      978355.6011465943        -111011.30213579262
-0.08161191078734992      0.017107831214525544     1.2097062674289192       -0.1776341336696013      962653.6607527938        -141356.75217681762
-0.07959082044215937      0.02084185608301053      1.2001343741204602       -0.2009200328422015      955036.5900788464        -159887.0819651116
-0.07823296384879644      0.02536697520549154      1.1475622671077876       -0.2128119531747543      913201.0365797317        -169350.37148401557
-0.07745745052508334      0.01054546211448421      1.2885129459954554       -0.13642316063573565     1025366.0229653856       -108562.10183698502
-0.07714210997142978      0.016128115924663903     1.2483963350242138       -0.19754952121284308     993442.2382845475        -157204.91403230606
-0.07662426664745622      0.0299956235160903       1.0824549832115762       -0.23390645559470724     861390.3062628846        -186136.84314501286
-0.07628331712472985      0.03416023209597094      1.0347349179293088       -0.23448368290091803     823415.8848911808        -186596.18604036822
-0.07361798209421412      0.03736618369210208      1.0005454173196762       -0.2372459531779049      796208.7447718485        -188794.33088405957
-0.07117965976622961      0.041543780802178194     0.9440444851765871       -0.18881102997377666     751246.7315724868        -150251.04365299284
-0.06999072246152489      0.045606367700510374     0.8859068925935676       -0.10358077000403694     704982.3053772354        -82426.95777703599
-0.06686081070020755      0.04824434103578626      0.787103839487301        -0.06066005792937865     626357.3339050686        -48271.740338506665
-0.06331252697307313      0.052310767976833907     0.6507742598546927       0.04587540204977011      517869.70146421966       36506.4850127449
-0.07518763248439352      0.0213015090704564       1.2046798632030236       -0.24804866359741995     958653.7753601475        -197390.8546943403
-0.07339001178648995      0.02694850367432143      1.1243802809358858       -0.2833649313737563      894753.3981300009        -225494.64763514508
-0.07190433061454861      0.03241226267674698      1.0378909913958414       -0.2907556895325761      825927.4083559801        -231376.02610600967
-0.06849149357009911      0.03758804070222558      0.9339076227945076       -0.283767813328527       743180.0727947355        -225815.25090806652
-0.0661324537907403       0.04308061704737522      0.8175630116682162       -0.20205704602136793     650595.9729804676        -160791.8883042364
-0.062258505159068285     0.047219853625192994     0.661871287640772        -0.1332108453147546      526700.4355931327        -106005.82252646521
-0.059626445446024995     0.05034106672220093      0.5368056520825055       -0.060742181540460335    427176.36504299473       -48337.0922317477
-0.06363961030678927      0.06363961030678929      -0.2189061843404276      1.0295549733383562       -174200.00655582355      819293.8159582193
-0.06081118318204308      0.06081118318204308      0.37023042372731957      0.46711555368679836      294620.0100960492        371718.7468218079
-0.05982544638949363      0.06355393869819496      0.04004222015362827      0.44892496512712576      31864.586349119258       357243.13638669404
-0.060674273715068464     0.06647279525602147      -0.2704794169292895      0.3120349902936763       -215240.68104455053      248309.55561435083
-0.057982756057296886     0.057982756057296886     0.33475548005372713      0.1937850932461471       266389.9468882552        154209.27743824085
-0.057176019714064344     0.06148199160410729      0.1638175618349608       0.2524547837877063       130361.87365648114       200897.1337350457
-0.057042038118944635     0.0696146959142742       -0.08767125244330905     0.10846026283130006      -69766.56596705022       86309.93479323787
-0.056826145029503006     0.06536411314201371      -0.004226690500913827    0.21442612750504883      -3363.4934306999735      170634.89060240766
-0.05287213969287025      0.07283225140209255      -0.035817747877790074    0.04951916880306296      -28502.858125847666      39406.102464047224
-0.052566574869623045     0.06800590447419594      -0.0014452830749349407   0.0920793948406672       -1150.11972771475        73274.45422901276
-0.05515432893255069      0.0551543289325507       0.3123183554550361       0.03318103280411475      248535.05044500306       26404.626938345977
-0.05419687461928642      0.05884090313321694      0.20666990300048027      0.1042726327254251       164462.68325424482       82977.52463728568
-0.04851472775259392      0.07580449321175951      -0.01617541115152987     0.024822256422654284     -12871.983206548728      19752.92404179988
