{'R_i': 0.015,
 'h_gap': 0.025,
 'h_fc': 0.01,
 'R_o': 0.05,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 3,
 'phi_C_II': 15,
 'phi_S_II': 45,
 'phi_S_IV': 45,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'B_rem_II_1': 1.3999999999999999,
 'B_rem_II_2': 1.3999999999999999,
 'B_rem_IV_1': 1.3999999999999999,
 'B_rem_IV_2': 1.3999999999999999,
 'B_rem_IV_3': 1.3999999999999999}

B_max[T]	F_M[%]	R_s[mm]	K[]	alpha
1.200	35.000	115.0	0.762	0.000	0.000	8.726	33.103	86.960
1.200	37.500	115.0	0.858	0.000	0.000	8.491	31.876	86.499
1.200	40.000	115.0	0.998	0.000	0.000	8.296	30.876	85.844
1.200	42.500	120.0	0.815	0.788	0.000	7.865	30.097	88.168
1.200	45.000	125.0	0.798	10.369	0.000	8.370	30.264	87.394
1.225	35.000	115.0	0.913	0.000	0.000	8.822	33.378	87.125
1.225	37.500	120.0	0.633	0.000	0.000	8.300	32.491	89.920
1.225	40.000	120.0	0.769	0.000	0.000	8.112	31.420	89.162
1.225	42.500	120.0	0.953	0.000	0.000	7.965	30.595	88.346
1.225	45.000	125.0	0.915	8.751	0.000	8.331	30.806	87.932
1.250	35.000	120.0	0.668	0.000	0.000	8.720	34.217	90.483
1.250	37.500	120.0	0.766	0.000	0.000	8.488	32.968	89.968
1.250	40.000	120.0	0.910	0.000	0.000	8.297	31.957	89.261
1.250	42.500	125.0	0.799	5.879	0.000	8.243	31.599	89.136
1.250	45.000	130.0	0.825	16.038	0.000	8.840	32.128	89.158
1.275	35.000	120.0	0.803	0.000	0.000	8.879	34.549	90.501
1.275	37.500	120.0	0.909	0.000	0.000	8.648	33.371	90.015
1.275	40.000	125.0	0.746	2.589	0.000	8.169	32.411	90.165
1.275	42.500	125.0	0.931	4.219	0.000	8.239	31.940	89.435
1.275	45.000	130.0	0.938	14.327	0.000	8.812	32.637	89.644
1.300	35.000	120.0	0.946	0.000	0.000	9.016	34.833	90.520
1.300	37.500	125.0	0.735	0.000	0.000	8.256	33.461	91.001
1.300	40.000	125.0	0.880	0.960	0.000	8.185	32.682	90.373
1.300	42.500	130.0	0.813	11.303	0.000	8.734	33.389	90.773
1.300	45.000	135.0	0.857	21.027	0.000	9.314	33.874	90.719
