{'R_i': 0.01,
 'h_fc': 0.005,
 'R_s': 0.1,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
55.0	18.000	1.050	0.001183
35.0	19.000	1.050	0.029787
45.0	19.000	1.050	0.001416
55.0	19.000	1.050	0.001716
35.0	20.000	1.050	0.033225
45.0	20.000	1.050	0.001465
55.0	20.000	1.050	0.002387
35.0	21.000	1.050	0.037861
45.0	21.000	1.050	0.002052
55.0	21.000	1.050	0.003378
35.0	22.000	1.050	0.042776
45.0	22.000	1.050	0.003371
55.0	22.000	1.050	0.004596
35.0	23.000	1.050	0.049984
45.0	23.000	1.050	0.004720
55.0	23.000	1.050	0.006360
35.0	24.000	1.050	0.054198
45.0	24.000	1.050	0.007341
55.0	24.000	1.050	0.003105
35.0	25.000	1.050	0.058777
45.0	25.000	1.050	0.010618
55.0	25.000	1.050	0.004964
35.0	15.000	1.060	0.020330
45.0	15.000	1.060	0.001448
55.0	15.000	1.060	0.000886
35.0	16.000	1.060	0.023427
45.0	16.000	1.060	0.001166
55.0	16.000	1.060	0.000932
35.0	17.000	1.060	0.026133
45.0	17.000	1.060	0.001141
55.0	17.000	1.060	0.000973
35.0	18.000	1.060	0.027850
45.0	18.000	1.060	0.001160
55.0	18.000	1.060	0.001397
35.0	19.000	1.060	0.031157
45.0	19.000	1.060	0.001488
55.0	19.000	1.060	0.001893
35.0	20.000	1.060	0.034752
45.0	20.000	1.060	0.001628
55.0	20.000	1.060	0.002654
35.0	21.000	1.060	0.039679
45.0	21.000	1.060	0.002335
55.0	21.000	1.060	0.003682
35.0	22.000	1.060	0.044899
45.0	22.000	1.060	0.003826
55.0	22.000	1.060	0.004954
35.0	23.000	1.060	0.051658
45.0	23.000	1.060	0.005331
55.0	23.000	1.060	0.006750
35.0	24.000	1.060	0.055825
45.0	24.000	1.060	0.008145
55.0	24.000	1.060	0.003538
35.0	25.000	1.060	0.060349
45.0	25.000	1.060	0.011607
55.0	25.000	1.060	0.005560
35.0	15.000	1.070	0.021114
45.0	15.000	1.070	0.001434
55.0	15.000	1.070	0.000858
35.0	16.000	1.070	0.024441
45.0	16.000	1.070	0.001147
55.0	16.000	1.070	0.000882
35.0	17.000	1.070	0.027279
45.0	17.000	1.070	0.001158
55.0	17.000	1.070	0.000966
35.0	18.000	1.070	0.029117
45.0	18.000	1.070	0.001083
55.0	18.000	1.070	0.001525
35.0	19.000	1.070	0.032568
45.0	19.000	1.070	0.001507
55.0	19.000	1.070	0.002097
35.0	20.000	1.070	0.036400
45.0	20.000	1.070	0.001870
55.0	20.000	1.070	0.002914
35.0	21.000	1.070	0.040843
45.0	21.000	1.070	0.002660
55.0	21.000	1.070	0.003991
35.0	22.000	1.070	0.046530
45.0	22.000	1.070	0.004335
55.0	22.000	1.070	0.005322
35.0	23.000	1.070	0.053311
45.0	23.000	1.070	0.005990
55.0	23.000	1.070	0.002342
35.0	24.000	1.070	0.057426
45.0	24.000	1.070	0.008998
55.0	24.000	1.070	0.004036
35.0	25.000	1.070	0.061943
45.0	25.000	1.070	0.012631
55.0	25.000	1.070	0.006193
35.0	15.000	1.080	0.021901
45.0	15.000	1.080	0.001443
55.0	15.000	1.080	0.000798
35.0	16.000	1.080	0.025455
45.0	16.000	1.080	0.001159
