Teste	H[mm]	Hmax[T]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wasco[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
10	16	1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	35.08458026	33.2160014	-16.71403354	-9.3395041	11.84510984	20.16	-2.23039353	-0.561349884	-467.2304945
11	16	1.1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	18.05043981	31.36126492	91.43204175	92.22981079	10.17270197	20.16	5.89530687	2.523794287	-623.936081
11	16	1.1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	24.96501463	34.38564268	62.05379291	67.76657998	10.94910317	20.16	5.67390236	1.687023451	-557.2537166
11	16	1.1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	33.61733854	35.13032211	5.86697677	14.69526892	11.84510984	20.16	0.74601013	0.179138203	-556.5007052
12	16	1.2	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	17.01006443	32.64482071	107.4187749	108.3072352	10.17270197	20.16	6.50272501	2.91618107	-729.4168884
12	16	1.2	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	23.49428814	36.2561334	84.68325868	91.23029526	10.94910317	20.16	7.24783782	2.207768829	-654.8556465
12	16	1.2	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	32.15747829	37.03093924	28.33405678	38.55753621	11.84510984	20.16	3.42741187	0.79966244	-644.3099562
13	18	1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	18.6257097	30.57217256	82.17265563	83.01794377	11.44428972	20.16	5.4783997	2.215930315	-591.9552192
13	18	1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	25.96226351	33.11492	46.47307674	52.25205082	12.31774106	20.16	4.43521653	1.258990874	-527.8072444
13	18	1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	34.89584597	33.60653554	-13.74391198	-4.4312706	13.32574857	20.16	-1.82287291	-0.434070238	-508.1286947
14	18	1.1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	17.35456896	32.11933216	101.6117693	102.5526063	11.44428972	20.16	6.28347467	2.68191515	-717.7099925
14	18	1.1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	24.18706305	35.33592532	73.65403314	80.32659682	12.31774106	20.16	6.50617448	1.88934416	-636.4275032
14	18	1.1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	33.23762731	35.73443328	11.65006945	22.48744883	13.32574857	20.16	1.46252152	0.33335182	-613.4972061
15	18	1.2	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	16.28941537	33.41247273	117.8932413	118.8789183	11.44428972	20.16	6.81696778	3.068437865	-833.1600368
15	18	1.2	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	22.66032279	37.24830496	97.0275744	104.5038163	12.31774106	20.16	7.98532263	2.397929508	-760.3273179
15	18	1.2														20.16		0	
16	20	1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	18.00856635	31.25613023	91.24008565	92.25599045	12.71587747	20.16	5.86840502	2.354930322	-674.3674558
