{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.12,
 'R_o': 0.05,
 'R_e': 0.3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	n_II[]	n_IV[]	h_gap[mm]	B_max[T]	K[]
55.0	3	3	17.750	1.105	0.200
55.0	3	4	17.750	1.105	0.056
35.0	2	3	18.000	1.105	1.251
35.0	2	4	18.000	1.105	1.210
35.0	3	3	18.000	1.105	1.242
35.0	3	4	18.000	1.105	1.217
45.0	2	3	18.000	1.105	0.104
45.0	2	4	18.000	1.105	0.106
45.0	3	3	18.000	1.105	0.093
45.0	3	4	18.000	1.105	0.128
55.0	2	3	18.000	1.105	0.193
55.0	2	4	18.000	1.105	0.072
55.0	3	3	18.000	1.105	0.207
55.0	3	4	18.000	1.105	0.056
35.0	2	3	18.250	1.105	1.284
35.0	2	4	18.250	1.105	1.218
35.0	3	3	18.250	1.105	1.256
35.0	3	4	18.250	1.105	1.203
45.0	2	3	18.250	1.105	0.104
45.0	2	4	18.250	1.105	0.117
45.0	3	3	18.250	1.105	0.113
45.0	3	4	18.250	1.105	0.122
55.0	2	3	18.250	1.105	0.202
55.0	2	4	18.250	1.105	0.074
55.0	3	3	18.250	1.105	0.215
55.0	3	4	18.250	1.105	0.055
35.0	2	3	18.500	1.105	1.291
35.0	2	4	18.500	1.105	1.236
35.0	3	3	18.500	1.105	1.269
35.0	3	4	18.500	1.105	1.230
45.0	2	3	18.500	1.105	0.114
45.0	2	4	18.500	1.105	0.100
45.0	3	3	18.500	1.105	0.091
45.0	3	4	18.500	1.105	0.100
55.0	2	3	18.500	1.105	0.214
55.0	2	4	18.500	1.105	0.075
55.0	3	3	18.500	1.105	0.227
55.0	3	4	18.500	1.105	0.056
35.0	2	3	18.750	1.105	1.304
35.0	2	4	18.750	1.105	1.242
35.0	3	3	18.750	1.105	1.269
35.0	3	4	18.750	1.105	1.229
45.0	2	3	18.750	1.105	0.115
45.0	2	4	18.750	1.105	0.113
45.0	3	3	18.750	1.105	0.103
45.0	3	4	18.750	1.105	0.118
55.0	2	3	18.750	1.105	0.222
55.0	2	4	18.750	1.105	0.076
55.0	3	3	18.750	1.105	0.238
55.0	3	4	18.750	1.105	0.059
35.0	2	3	19.000	1.105	1.322
35.0	2	4	19.000	1.105	1.262
35.0	3	3	19.000	1.105	1.286
35.0	3	4	19.000	1.105	1.246
45.0	2	3	19.000	1.105	0.102
45.0	2	4	19.000	1.105	0.107
45.0	3	3	19.000	1.105	0.104
45.0	3	4	19.000	1.105	0.120
55.0	2	3	19.000	1.105	0.229
55.0	2	4	19.000	1.105	0.079
55.0	3	3	19.000	1.105	0.245
55.0	3	4	19.000	1.105	0.061
35.0	2	3	19.250	1.105	1.342
35.0	2	4	19.250	1.105	1.280
35.0	3	3	19.250	1.105	1.294
35.0	3	4	19.250	1.105	1.252
45.0	2	3	19.250	1.105	0.080
45.0	2	4	19.250	1.105	0.122
45.0	3	3	19.250	1.105	0.100
45.0	3	4	19.250	1.105	0.091
55.0	2	3	19.250	1.105	0.245
55.0	2	4	19.250	1.105	0.081
55.0	3	3	19.250	1.105	0.258
55.0	3	4	19.250	1.105	0.064
35.0	2	3	19.500	1.105	1.363
35.0	2	4	19.500	1.105	1.307
35.0	3	3	19.500	1.105	1.321
35.0	3	4	19.500	1.105	1.264
45.0	2	3	19.500	1.105	0.091
45.0	2	4	19.500	1.105	0.094
45.0	3	3	19.500	1.105	0.077
45.0	3	4	19.500	1.105	0.094
55.0	2	3	19.500	1.105	0.252
55.0	2	4	19.500	1.105	0.084
55.0	3	3	19.500	1.105	0.270
55.0	3	4	19.500	1.105	0.068
35.0	2	3	19.750	1.105	1.394
35.0	2	4	19.750	1.105	1.328
35.0	3	3	19.750	1.105	1.334
35.0	3	4	19.750	1.105	1.277
45.0	2	3	19.750	1.105	0.076
45.0	2	4	19.750	1.105	0.119
45.0	3	3	19.750	1.105	0.077
45.0	3	4	19.750	1.105	0.090
55.0	2	3	19.750	1.105	0.269
55.0	2	4	19.750	1.105	0.087
55.0	3	3	19.750	1.105	0.285
55.0	3	4	19.750	1.105	0.074
35.0	2	3	20.000	1.105	1.418
35.0	2	4	20.000	1.105	1.352
35.0	3	3	20.000	1.105	1.344
35.0	3	4	20.000	1.105	1.292
45.0	2	3	20.000	1.105	0.103
45.0	2	4	20.000	1.105	0.102
45.0	3	3	20.000	1.105	0.095
45.0	3	4	20.000	1.105	0.102
55.0	2	3	20.000	1.105	0.278
55.0	2	4	20.000	1.105	0.092
55.0	3	3	20.000	1.105	0.298
55.0	3	4	20.000	1.105	0.078
35.0	2	3	20.250	1.105	1.443
35.0	2	4	20.250	1.105	1.368
35.0	3	3	20.250	1.105	1.357
35.0	3	4	20.250	1.105	1.308
45.0	2	3	20.250	1.105	0.101
45.0	2	4	20.250	1.105	0.097
45.0	3	3	20.250	1.105	0.106
45.0	3	4	20.250	1.105	0.087
55.0	2	3	20.250	1.105	0.297
55.0	2	4	20.250	1.105	0.095
55.0	3	3	20.250	1.105	0.310
55.0	3	4	20.250	1.105	0.083
35.0	2	3	20.500	1.105	1.467
35.0	2	4	20.500	1.105	1.390
35.0	3	3	20.500	1.105	1.378
35.0	3	4	20.500	1.105	1.327
45.0	2	3	20.500	1.105	0.070
45.0	2	4	20.500	1.105	0.083
45.0	3	3	20.500	1.105	0.091
45.0	3	4	20.500	1.105	0.084
55.0	2	3	20.500	1.105	0.306
55.0	2	4	20.500	1.105	0.105
55.0	3	3	20.500	1.105	0.326
55.0	3	4	20.500	1.105	0.091
35.0	2	3	20.750	1.105	1.499
35.0	2	4	20.750	1.105	1.417
35.0	3	3	20.750	1.105	1.393
35.0	3	4	20.750	1.105	1.342
45.0	2	3	20.750	1.105	0.069
45.0	2	4	20.750	1.105	0.080
45.0	3	3	20.750	1.105	0.097
45.0	3	4	20.750	1.105	0.094
55.0	2	3	20.750	1.105	0.326
55.0	2	4	20.750	1.105	0.108
55.0	3	3	20.750	1.105	0.341
55.0	3	4	20.750	1.105	0.099
35.0	2	3	21.000	1.105	1.525
35.0	2	4	21.000	1.105	1.444
35.0	3	3	21.000	1.105	1.413
35.0	3	4	21.000	1.105	1.345
45.0	2	3	21.000	1.105	0.091
45.0	2	4	21.000	1.105	0.076
45.0	3	3	21.000	1.105	0.088
45.0	3	4	21.000	1.105	0.091
55.0	2	3	21.000	1.105	0.339
55.0	2	4	21.000	1.105	0.118
55.0	3	3	21.000	1.105	0.353
55.0	3	4	21.000	1.105	0.109
35.0	2	3	21.250	1.105	1.546
35.0	2	4	21.250	1.105	1.468
35.0	3	3	21.250	1.105	1.431
35.0	3	4	21.250	1.105	1.367
45.0	2	3	21.250	1.105	0.080
45.0	2	4	21.250	1.105	0.085
45.0	3	3	21.250	1.105	0.084
45.0	3	4	21.250	1.105	0.098
55.0	2	3	21.250	1.105	0.356
55.0	2	4	21.250	1.105	0.126
55.0	3	3	21.250	1.105	0.373
55.0	3	4	21.250	1.105	0.121
35.0	2	3	21.500	1.105	1.568
35.0	2	4	21.500	1.105	1.489
35.0	3	3	21.500	1.105	1.448
35.0	3	4	21.500	1.105	1.387
45.0	2	3	21.500	1.105	0.062
45.0	2	4	21.500	1.105	0.075
45.0	3	3	21.500	1.105	0.087
45.0	3	4	21.500	1.105	0.089
55.0	2	3	21.500	1.105	0.375
55.0	2	4	21.500	1.105	0.137
55.0	3	3	21.500	1.105	0.384
55.0	3	4	21.500	1.105	0.130
35.0	2	3	21.750	1.105	1.592
35.0	2	4	21.750	1.105	1.512
35.0	3	3	21.750	1.105	1.467
35.0	3	4	21.750	1.105	1.405
45.0	2	3	21.750	1.105	0.075
45.0	2	4	21.750	1.105	0.070
45.0	3	3	21.750	1.105	0.062
45.0	3	4	21.750	1.105	0.091
55.0	2	3	21.750	1.105	0.392
55.0	2	4	21.750	1.105	0.149
55.0	3	3	21.750	1.105	0.401
55.0	3	4	21.750	1.105	0.139
35.0	2	3	22.000	1.105	1.622
35.0	2	4	22.000	1.105	1.546
35.0	3	3	22.000	1.105	1.485
35.0	3	4	22.000	1.105	1.429
45.0	2	3	22.000	1.105	0.059
45.0	2	4	22.000	1.105	0.068
45.0	3	3	22.000	1.105	0.073
45.0	3	4	22.000	1.105	0.074
55.0	2	3	22.000	1.105	0.410
55.0	2	4	22.000	1.105	0.154
55.0	3	3	22.000	1.105	0.423
55.0	3	4	22.000	1.105	0.154
35.0	2	3	22.250	1.105	1.648
35.0	2	4	22.250	1.105	1.563
35.0	3	3	22.250	1.105	1.511
35.0	3	4	22.250	1.105	1.456
45.0	2	3	22.250	1.105	0.068
45.0	2	4	22.250	1.105	0.070
45.0	3	3	22.250	1.105	0.060
45.0	3	4	22.250	1.105	0.088
55.0	2	3	22.250	1.105	0.432
55.0	2	4	22.250	1.105	0.168
55.0	3	3	22.250	1.105	0.435
55.0	3	4	22.250	1.105	0.165
35.0	2	3	22.500	1.105	1.665
35.0	2	4	22.500	1.105	1.594
35.0	3	3	22.500	1.105	1.529
35.0	3	4	22.500	1.105	1.474
45.0	2	3	22.500	1.105	0.074
45.0	2	4	22.500	1.105	0.074
45.0	3	3	22.500	1.105	0.067
45.0	3	4	22.500	1.105	0.077
55.0	2	3	22.500	1.105	0.447
55.0	2	4	22.500	1.105	0.181
55.0	3	3	22.500	1.105	0.452
55.0	3	4	22.500	1.105	0.183
35.0	2	3	22.750	1.105	1.697
35.0	2	4	22.750	1.105	1.614
35.0	3	3	22.750	1.105	1.557
35.0	3	4	22.750	1.105	1.501
45.0	2	3	22.750	1.105	0.059
45.0	2	4	22.750	1.105	0.072
45.0	3	3	22.750	1.105	0.057
45.0	3	4	22.750	1.105	0.066
55.0	2	3	22.750	1.105	0.468
55.0	2	4	22.750	1.105	0.193
55.0	3	3	22.750	1.105	0.475
55.0	3	4	22.750	1.105	0.194
35.0	2	3	23.000	1.105	1.743
35.0	2	4	23.000	1.105	1.655
35.0	3	3	23.000	1.105	1.581
35.0	3	4	23.000	1.105	1.517
45.0	2	3	23.000	1.105	0.071
45.0	2	4	23.000	1.105	0.074
45.0	3	3	23.000	1.105	0.070
45.0	3	4	23.000	1.105	0.077
55.0	2	3	23.000	1.105	0.491
55.0	2	4	23.000	1.105	0.206
55.0	3	3	23.000	1.105	0.498
55.0	3	4	23.000	1.105	0.207
35.0	2	3	23.250	1.105	1.776
35.0	2	4	23.250	1.105	1.684
35.0	3	3	23.250	1.105	1.614
35.0	3	4	23.250	1.105	1.555
45.0	2	3	23.250	1.105	0.082
45.0	2	4	23.250	1.105	0.064
45.0	3	3	23.250	1.105	0.060
45.0	3	4	23.250	1.105	0.071
55.0	2	3	23.250	1.105	0.498
55.0	2	4	23.250	1.105	0.219
55.0	3	3	23.250	1.105	0.511
55.0	3	4	23.250	1.105	0.224
35.0	2	3	23.500	1.105	1.799
35.0	2	4	23.500	1.105	1.718
35.0	3	3	23.500	1.105	1.640
35.0	3	4	23.500	1.105	1.587
45.0	2	3	23.500	1.105	0.075
45.0	2	4	23.500	1.105	0.070
45.0	3	3	23.500	1.105	0.071
45.0	3	4	23.500	1.105	0.062
55.0	2	3	23.500	1.105	0.523
55.0	2	4	23.500	1.105	0.234
55.0	3	3	23.500	1.105	0.526
55.0	3	4	23.500	1.105	0.238
35.0	2	3	23.750	1.105	1.836
35.0	2	4	23.750	1.105	1.751
35.0	3	3	23.750	1.105	1.669
35.0	3	4	23.750	1.105	1.614
45.0	2	3	23.750	1.105	0.070
45.0	2	4	23.750	1.105	0.071
45.0	3	3	23.750	1.105	0.071
45.0	3	4	23.750	1.105	0.079
55.0	2	3	23.750	1.105	0.552
55.0	2	4	23.750	1.105	0.255
55.0	3	3	23.750	1.105	0.548
55.0	3	4	23.750	1.105	0.258
35.0	2	3	24.000	1.105	1.878
35.0	2	4	24.000	1.105	1.796
35.0	3	3	24.000	1.105	1.716
35.0	3	4	24.000	1.105	1.648
45.0	2	3	24.000	1.105	0.083
45.0	2	4	24.000	1.105	0.073
45.0	3	3	24.000	1.105	0.077
45.0	3	4	24.000	1.105	0.067
55.0	2	3	24.000	1.105	0.574
55.0	2	4	24.000	1.105	0.270
55.0	3	3	24.000	1.105	0.580
55.0	3	4	24.000	1.105	0.279
35.0	2	3	24.250	1.105	1.916
35.0	2	4	24.250	1.105	1.830
35.0	3	3	24.250	1.105	1.748
35.0	3	4	24.250	1.105	1.686
45.0	2	3	24.250	1.105	0.084
45.0	2	4	24.250	1.105	0.083
45.0	3	3	24.250	1.105	0.083
45.0	3	4	24.250	1.105	0.083
55.0	2	3	24.250	1.105	0.593
55.0	2	4	24.250	1.105	0.296
55.0	3	3	24.250	1.105	0.598
55.0	3	4	24.250	1.105	0.294
35.0	2	3	24.500	1.105	1.961
35.0	2	4	24.500	1.105	1.860
35.0	3	3	24.500	1.105	1.786
35.0	3	4	24.500	1.105	1.700
45.0	2	3	24.500	1.105	0.097
45.0	2	4	24.500	1.105	0.087
45.0	3	3	24.500	1.105	0.093
45.0	3	4	24.500	1.105	0.080
55.0	2	3	24.500	1.105	0.616
55.0	2	4	24.500	1.105	0.310
55.0	3	3	24.500	1.105	0.618
55.0	3	4	24.500	1.105	0.313
35.0	2	3	24.750	1.105	2.001
35.0	2	4	24.750	1.105	1.896
35.0	3	3	24.750	1.105	1.821
35.0	3	4	24.750	1.105	1.739
45.0	2	3	24.750	1.105	0.111
45.0	2	4	24.750	1.105	0.089
45.0	3	3	24.750	1.105	0.107
45.0	3	4	24.750	1.105	0.093
55.0	2	3	24.750	1.105	0.634
55.0	2	4	24.750	1.105	0.328
55.0	3	3	24.750	1.105	0.646
55.0	3	4	24.750	1.105	0.329
35.0	2	3	25.000	1.105	2.042
35.0	2	4	25.000	1.105	1.946
35.0	3	3	25.000	1.105	1.873
35.0	3	4	25.000	1.105	1.770
45.0	2	3	25.000	1.105	0.116
45.0	2	4	25.000	1.105	0.093
45.0	3	3	25.000	1.105	0.128
45.0	3	4	25.000	1.105	0.096
55.0	2	3	25.000	1.105	0.661
55.0	2	4	25.000	1.105	0.347
55.0	3	3	25.000	1.105	0.664
55.0	3	4	25.000	1.105	0.350
35.0	2	3	15.000	1.110	1.266
35.0	2	4	15.000	1.110	1.234
35.0	3	3	15.000	1.110	1.260
35.0	3	4	15.000	1.110	1.240
45.0	2	3	15.000	1.110	0.142
45.0	2	4	15.000	1.110	0.162
45.0	3	3	15.000	1.110	0.159
45.0	3	4	15.000	1.110	0.163
55.0	2	3	15.000	1.110	0.161
55.0	2	4	15.000	1.110	0.117
55.0	3	3	15.000	1.110	0.168
55.0	3	4	15.000	1.110	0.063
35.0	2	3	15.250	1.110	1.254
35.0	2	4	15.250	1.110	1.228
35.0	3	3	15.250	1.110	1.254
35.0	3	4	15.250	1.110	1.226
45.0	2	3	15.250	1.110	0.149
45.0	2	4	15.250	1.110	0.151
45.0	3	3	15.250	1.110	0.140
45.0	3	4	15.250	1.110	0.160
55.0	2	3	15.250	1.110	0.156
55.0	2	4	15.250	1.110	0.117
55.0	3	3	15.250	1.110	0.167
55.0	3	4	15.250	1.110	0.063
35.0	2	3	15.500	1.110	1.243
35.0	2	4	15.500	1.110	1.207
35.0	3	3	15.500	1.110	1.242
35.0	3	4	15.500	1.110	1.228
45.0	2	3	15.500	1.110	0.134
45.0	2	4	15.500	1.110	0.157
45.0	3	3	15.500	1.110	0.140
45.0	3	4	15.500	1.110	0.145
55.0	2	3	15.500	1.110	0.158
55.0	2	4	15.500	1.110	0.114
55.0	3	3	15.500	1.110	0.169
55.0	3	4	15.500	1.110	0.063
35.0	2	3	15.750	1.110	1.240
35.0	2	4	15.750	1.110	1.202
35.0	3	3	15.750	1.110	1.233
45.0	2	3	15.750	1.110	0.146
45.0	2	4	15.750	1.110	0.142
45.0	3	3	15.750	1.110	0.143
45.0	3	4	15.750	1.110	0.140
55.0	2	3	15.750	1.110	0.155
55.0	2	4	15.750	1.110	0.113
55.0	3	3	15.750	1.110	0.167
55.0	3	4	15.750	1.110	0.061
35.0	2	3	16.000	1.110	1.237
35.0	2	4	16.000	1.110	1.196
35.0	3	3	16.000	1.110	1.238
35.0	3	4	16.000	1.110	1.201
45.0	2	3	16.000	1.110	0.127
45.0	2	4	16.000	1.110	0.145
45.0	3	3	16.000	1.110	0.123
45.0	3	4	16.000	1.110	0.135
55.0	2	3	16.000	1.110	0.155
55.0	2	4	16.000	1.110	0.109
55.0	3	3	16.000	1.110	0.171
55.0	3	4	16.000	1.110	0.059
35.0	2	3	16.250	1.110	1.241
35.0	2	4	16.250	1.110	1.193
35.0	3	3	16.250	1.110	1.232
35.0	3	4	16.250	1.110	1.192
45.0	2	3	16.250	1.110	0.118
45.0	2	4	16.250	1.110	0.134
45.0	3	3	16.250	1.110	0.121
45.0	3	4	16.250	1.110	0.129
55.0	2	3	16.250	1.110	0.161
55.0	2	4	16.250	1.110	0.112
55.0	3	3	16.250	1.110	0.169
55.0	3	4	16.250	1.110	0.056
35.0	2	3	16.500	1.110	1.239
35.0	2	4	16.500	1.110	1.188
35.0	3	3	16.500	1.110	1.235
35.0	3	4	16.500	1.110	1.201
45.0	2	3	16.500	1.110	0.114
45.0	2	4	16.500	1.110	0.127
45.0	3	3	16.500	1.110	0.125
45.0	3	4	16.500	1.110	0.124
55.0	2	3	16.500	1.110	0.161
55.0	2	4	16.500	1.110	0.110
55.0	3	3	16.500	1.110	0.176
55.0	3	4	16.500	1.110	0.055
35.0	2	3	16.750	1.110	1.240
35.0	2	4	16.750	1.110	1.202
35.0	3	3	16.750	1.110	1.234
35.0	3	4	16.750	1.110	1.202
45.0	2	3	16.750	1.110	0.118
45.0	2	4	16.750	1.110	0.122
45.0	3	3	16.750	1.110	0.109
45.0	3	4	16.750	1.110	0.122
55.0	2	3	16.750	1.110	0.166
55.0	2	4	16.750	1.110	0.107
55.0	3	3	16.750	1.110	0.175
55.0	3	4	16.750	1.110	0.055
35.0	2	3	17.000	1.110	1.237
35.0	2	4	17.000	1.110	1.205
35.0	3	3	17.000	1.110	1.239
35.0	3	4	17.000	1.110	1.202
45.0	2	3	17.000	1.110	0.128
45.0	2	4	17.000	1.110	0.130
45.0	3	3	17.000	1.110	0.130
45.0	3	4	17.000	1.110	0.140
55.0	2	3	17.000	1.110	0.168
55.0	2	4	17.000	1.110	0.105
55.0	3	3	17.000	1.110	0.184
55.0	3	4	17.000	1.110	0.053
35.0	2	3	17.250	1.110	1.255
35.0	2	4	17.250	1.110	1.206
35.0	3	3	17.250	1.110	1.245
35.0	3	4	17.250	1.110	1.207
45.0	2	3	17.250	1.110	0.116
45.0	2	4	17.250	1.110	0.113
45.0	3	3	17.250	1.110	0.121
45.0	3	4	17.250	1.110	0.116
55.0	2	3	17.250	1.110	0.176
55.0	2	4	17.250	1.110	0.100
55.0	3	3	17.250	1.110	0.189
55.0	3	4	17.250	1.110	0.052
35.0	2	3	17.500	1.110	1.263
35.0	2	4	17.500	1.110	1.211
35.0	3	3	17.500	1.110	1.254
35.0	3	4	17.500	1.110	1.215
45.0	2	3	17.500	1.110	0.120
45.0	2	4	17.500	1.110	0.137
45.0	3	3	17.500	1.110	0.116
45.0	3	4	17.500	1.110	0.111
55.0	2	3	17.500	1.110	0.183
55.0	2	4	17.500	1.110	0.101
55.0	3	3	17.500	1.110	0.196
55.0	3	4	17.500	1.110	0.056
35.0	2	3	17.750	1.110	1.266
35.0	2	4	17.750	1.110	1.214
35.0	3	3	17.750	1.110	1.253
35.0	3	4	17.750	1.110	1.216
45.0	2	3	17.750	1.110	0.097
45.0	2	4	17.750	1.110	0.108
45.0	3	3	17.750	1.110	0.110
45.0	3	4	17.750	1.110	0.108
55.0	2	3	17.750	1.110	0.194
55.0	2	4	17.750	1.110	0.069
55.0	3	3	17.750	1.110	0.206
55.0	3	4	17.750	1.110	0.056
35.0	2	3	18.000	1.110	1.273
35.0	2	4	18.000	1.110	1.231
35.0	3	3	18.000	1.110	1.263
35.0	3	4	18.000	1.110	1.235
45.0	2	3	18.000	1.110	0.103
45.0	2	4	18.000	1.110	0.105
45.0	3	3	18.000	1.110	0.092
45.0	3	4	18.000	1.110	0.128
55.0	2	3	18.000	1.110	0.199
55.0	2	4	18.000	1.110	0.073
55.0	3	3	18.000	1.110	0.214
55.0	3	4	18.000	1.110	0.056
35.0	2	3	18.250	1.110	1.307
35.0	2	4	18.250	1.110	1.239
35.0	3	3	18.250	1.110	1.276
35.0	3	4	18.250	1.110	1.222
45.0	2	3	18.250	1.110	0.103
45.0	2	4	18.250	1.110	0.116
45.0	3	3	18.250	1.110	0.112
45.0	3	4	18.250	1.110	0.122
55.0	2	3	18.250	1.110	0.209
55.0	2	4	18.250	1.110	0.074
55.0	3	3	18.250	1.110	0.223
55.0	3	4	18.250	1.110	0.056
35.0	2	3	18.500	1.110	1.315
35.0	2	4	18.500	1.110	1.259
35.0	3	3	18.500	1.110	1.290
35.0	3	4	18.500	1.110	1.250
45.0	2	3	18.500	1.110	0.113
45.0	2	4	18.500	1.110	0.099
45.0	3	3	18.500	1.110	0.090
45.0	3	4	18.500	1.110	0.099
55.0	2	3	18.500	1.110	0.222
55.0	2	4	18.500	1.110	0.076
55.0	3	3	18.500	1.110	0.235
55.0	3	4	18.500	1.110	0.057
35.0	2	3	18.750	1.110	1.328
35.0	2	4	18.750	1.110	1.266
35.0	3	3	18.750	1.110	1.291
35.0	3	4	18.750	1.110	1.250
45.0	2	3	18.750	1.110	0.114
45.0	2	4	18.750	1.110	0.112
45.0	3	3	18.750	1.110	0.102
45.0	3	4	18.750	1.110	0.118
55.0	2	3	18.750	1.110	0.230
55.0	2	4	18.750	1.110	0.077
55.0	3	3	18.750	1.110	0.246
55.0	3	4	18.750	1.110	0.060
35.0	2	3	19.000	1.110	1.347
35.0	2	4	19.000	1.110	1.287
35.0	3	3	19.000	1.110	1.309
35.0	3	4	19.000	1.110	1.267
45.0	2	3	19.000	1.110	0.102
45.0	2	4	19.000	1.110	0.107
45.0	3	3	19.000	1.110	0.103
45.0	3	4	19.000	1.110	0.120
55.0	2	3	19.000	1.110	0.237
55.0	2	4	19.000	1.110	0.081
55.0	3	3	19.000	1.110	0.254
55.0	3	4	19.000	1.110	0.063
35.0	2	3	19.250	1.110	1.369
35.0	2	4	19.250	1.110	1.305
35.0	3	3	19.250	1.110	1.316
35.0	3	4	19.250	1.110	1.274
45.0	2	3	19.250	1.110	0.080
45.0	2	4	19.250	1.110	0.121
45.0	3	3	19.250	1.110	0.100
45.0	3	4	19.250	1.110	0.090
55.0	2	3	19.250	1.110	0.253
55.0	2	4	19.250	1.110	0.083
55.0	3	3	19.250	1.110	0.267
55.0	3	4	19.250	1.110	0.067
35.0	2	3	19.500	1.110	1.390
35.0	2	4	19.500	1.110	1.334
35.0	3	3	19.500	1.110	1.344
35.0	3	4	19.500	1.110	1.285
45.0	2	3	19.500	1.110	0.091
45.0	2	4	19.500	1.110	0.093
45.0	3	3	19.500	1.110	0.076
45.0	3	4	19.500	1.110	0.093
55.0	2	3	19.500	1.110	0.261
55.0	2	4	19.500	1.110	0.086
55.0	3	3	19.500	1.110	0.279
55.0	3	4	19.500	1.110	0.071
35.0	2	3	19.750	1.110	1.421
35.0	2	4	19.750	1.110	1.355
35.0	3	3	19.750	1.110	1.357
35.0	3	4	19.750	1.110	1.298
45.0	2	3	19.750	1.110	0.075
45.0	2	4	19.750	1.110	0.118
45.0	3	3	19.750	1.110	0.076
45.0	3	4	19.750	1.110	0.089
55.0	2	3	19.750	1.110	0.279
55.0	2	4	19.750	1.110	0.090
55.0	3	3	19.750	1.110	0.294
55.0	3	4	19.750	1.110	0.078
35.0	2	3	20.000	1.110	1.446
35.0	2	4	20.000	1.110	1.379
35.0	3	3	20.000	1.110	1.367
35.0	3	4	20.000	1.110	1.315
45.0	2	3	20.000	1.110	0.102
45.0	2	4	20.000	1.110	0.102
45.0	3	3	20.000	1.110	0.095
45.0	3	4	20.000	1.110	0.101
55.0	2	3	20.000	1.110	0.288
55.0	2	4	20.000	1.110	0.096
55.0	3	3	20.000	1.110	0.308
55.0	3	4	20.000	1.110	0.082
35.0	2	3	20.250	1.110	1.472
35.0	2	4	20.250	1.110	1.396
35.0	3	3	20.250	1.110	1.382
35.0	3	4	20.250	1.110	1.331
45.0	2	3	20.250	1.110	0.100
45.0	2	4	20.250	1.110	0.096
45.0	3	3	20.250	1.110	0.105
45.0	3	4	20.250	1.110	0.087
55.0	2	3	20.250	1.110	0.307
55.0	2	4	20.250	1.110	0.099
55.0	3	3	20.250	1.110	0.321
55.0	3	4	20.250	1.110	0.088
35.0	2	3	20.500	1.110	1.496
35.0	2	4	20.500	1.110	1.418
35.0	3	3	20.500	1.110	1.400
35.0	3	4	20.500	1.110	1.351
45.0	2	3	20.500	1.110	0.070
45.0	2	4	20.500	1.110	0.082
45.0	3	3	20.500	1.110	0.090
45.0	3	4	20.500	1.110	0.083
55.0	2	3	20.500	1.110	0.317
55.0	2	4	20.500	1.110	0.109
55.0	3	3	20.500	1.110	0.337
55.0	3	4	20.500	1.110	0.097
35.0	2	3	20.750	1.110	1.529
35.0	2	4	20.750	1.110	1.445
35.0	3	3	20.750	1.110	1.419
35.0	3	4	20.750	1.110	1.367
45.0	2	3	20.750	1.110	0.069
45.0	2	4	20.750	1.110	0.080
45.0	3	3	20.750	1.110	0.096
45.0	3	4	20.750	1.110	0.093
55.0	2	3	20.750	1.110	0.337
55.0	2	4	20.750	1.110	0.114
55.0	3	3	20.750	1.110	0.352
55.0	3	4	20.750	1.110	0.106
35.0	2	3	21.000	1.110	1.555
35.0	2	4	21.000	1.110	1.472
35.0	3	3	21.000	1.110	1.440
35.0	3	4	21.000	1.110	1.370
45.0	2	3	21.000	1.110	0.090
45.0	2	4	21.000	1.110	0.075
45.0	3	3	21.000	1.110	0.087
45.0	3	4	21.000	1.110	0.090
55.0	2	3	21.000	1.110	0.351
55.0	2	4	21.000	1.110	0.124
55.0	3	3	21.000	1.110	0.364
55.0	3	4	21.000	1.110	0.116
35.0	2	3	21.250	1.110	1.575
35.0	2	4	21.250	1.110	1.497
35.0	3	3	21.250	1.110	1.458
35.0	3	4	21.250	1.110	1.393
45.0	2	3	21.250	1.110	0.079
45.0	2	4	21.250	1.110	0.084
45.0	3	3	21.250	1.110	0.083
45.0	3	4	21.250	1.110	0.097
55.0	2	3	21.250	1.110	0.368
55.0	2	4	21.250	1.110	0.133
55.0	3	3	21.250	1.110	0.385
55.0	3	4	21.250	1.110	0.129
35.0	2	3	21.500	1.110	1.598
35.0	2	4	21.500	1.110	1.518
35.0	3	3	21.500	1.110	1.476
35.0	3	4	21.500	1.110	1.413
45.0	2	3	21.500	1.110	0.062
45.0	2	4	21.500	1.110	0.074
45.0	3	3	21.500	1.110	0.085
45.0	3	4	21.500	1.110	0.088
55.0	2	3	21.500	1.110	0.388
55.0	2	4	21.500	1.110	0.145
55.0	3	3	21.500	1.110	0.396
55.0	3	4	21.500	1.110	0.139
35.0	2	3	21.750	1.110	1.623
35.0	2	4	21.750	1.110	1.541
35.0	3	3	21.750	1.110	1.496
35.0	3	4	21.750	1.110	1.432
45.0	2	3	21.750	1.110	0.073
45.0	2	4	21.750	1.110	0.070
45.0	3	3	21.750	1.110	0.061
45.0	3	4	21.750	1.110	0.090
55.0	2	3	21.750	1.110	0.405
55.0	2	4	21.750	1.110	0.158
55.0	3	3	21.750	1.110	0.414
55.0	3	4	21.750	1.110	0.148
35.0	2	3	22.000	1.110	1.654
