{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.11,
 'R_o': 0.05,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
45.0	22.000	1.150	0.369
55.0	22.000	1.150	0.209
35.0	23.000	1.150	3.094
45.0	23.000	1.150	0.495
55.0	23.000	1.150	0.322
35.0	24.000	1.150	3.267
45.0	24.000	1.150	0.683
55.0	24.000	1.150	0.469
35.0	25.000	1.150	3.491
45.0	25.000	1.150	0.888
55.0	25.000	1.150	0.641
35.0	15.000	1.160	1.767
45.0	15.000	1.160	0.134
55.0	15.000	1.160	0.251
35.0	16.000	1.160	1.857
45.0	16.000	1.160	0.127
55.0	16.000	1.160	0.308
35.0	17.000	1.160	1.945
45.0	17.000	1.160	0.106
55.0	17.000	1.160	0.379
35.0	18.000	1.160	2.073
45.0	18.000	1.160	0.115
55.0	18.000	1.160	0.460
35.0	19.000	1.160	2.241
45.0	19.000	1.160	0.136
55.0	19.000	1.160	0.555
35.0	20.000	1.160	2.422
45.0	20.000	1.160	0.203
55.0	20.000	1.160	0.657
35.0	21.000	1.160	2.861
45.0	21.000	1.160	0.284
55.0	21.000	1.160	0.143
35.0	22.000	1.160	2.994
45.0	22.000	1.160	0.412
55.0	22.000	1.160	0.240
35.0	23.000	1.160	3.165
45.0	23.000	1.160	0.544
55.0	23.000	1.160	0.361
35.0	24.000	1.160	3.343
45.0	24.000	1.160	0.742
55.0	24.000	1.160	0.515
35.0	25.000	1.160	3.572
45.0	25.000	1.160	0.955
55.0	25.000	1.160	0.694
35.0	15.000	1.170	1.816
45.0	15.000	1.170	0.133
55.0	15.000	1.170	0.268
35.0	16.000	1.170	1.911
45.0	16.000	1.170	0.125
55.0	16.000	1.170	0.329
35.0	17.000	1.170	2.003
45.0	17.000	1.170	0.108
55.0	17.000	1.170	0.403
35.0	18.000	1.170	2.138
45.0	18.000	1.170	0.125
55.0	18.000	1.170	0.487
35.0	19.000	1.170	2.311
45.0	19.000	1.170	0.154
55.0	19.000	1.170	0.585
35.0	20.000	1.170	2.496
45.0	20.000	1.170	0.231
55.0	20.000	1.170	0.687
35.0	21.000	1.170	2.928
45.0	21.000	1.170	0.319
55.0	21.000	1.170	0.167
35.0	22.000	1.170	3.062
45.0	22.000	1.170	0.457
55.0	22.000	1.170	0.273
35.0	23.000	1.170	3.238
45.0	23.000	1.170	0.596
55.0	23.000	1.170	0.401
